Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Parcel
FedEx Processing Center,,1875 Marin St,San Francisco,San Francisco,CA,94124,37.748479,-122.394638,112054,,,2014,91,19.8,59,19.8,59,,,176,,4347A/004
1370-1380 Marin St,,1320 MARIN ST,San Francisco,San Francisco,CA,94124,37.748865,-122.389312,30000,,,2014,,,,,,,,,,4353/009
3101 3rd Street,,3101 3RD ST,San Francisco,San Francisco,CA,94124,37.749635,-122.387438,66000,,,2014,100,6.1,17.5,6.1,17.5,,,31.4,,4356/001
Garfinkle Property,,900 MARIN ST,San Francisco,San Francisco,CA,94124,37.749106,-122.38596,30000,,,2014,,1.4,4.3,1.4,4.3,,,3.3,,4357/003
United California Group,,725 CESAR CHAVEZ ST,San Francisco,San Francisco,CA,94124,37.750417,-122.384781,33193,,,2014,86,17.4,50.4,17.4,50.4,,,45.2,,4358/022
200 JENNINGS ST,,200 JENNINGS ST,San Francisco,San Francisco,CA,94124,37.738752,-122.378168,43416,,,2014,,,,,,,,,,4570/023
Mendell Street,,301 MENDELL ST,San Francisco,San Francisco,CA,94124,37.741603,-122.384106,65998,,,2014,,30.6,68.4,32.2,70,,,139.7,,4570/026
101 CARGO WAY,,101 CARGO WAY,San Francisco,San Francisco,CA,94124,37.740437,-122.377391,23760,,,2014,78,46.2,78.2,50.4,81.8,,,67.9,,4570/031
Herba Enterprises,,1150 THOMAS AVE,San Francisco,San Francisco,CA,94124,37.725685,-122.382942,31250,,,2014,55,15.4,47.1,15.4,47.1,,,38.7,,4793/003
1095 SHAFTER AVE,,1095 SHAFTER AVE,San Francisco,San Francisco,CA,94124,37.725572,-122.381091,11224,,,2014,,,,,,,,,,4794/010
1212 UNDERWOOD AVE,,1212 UNDERWOOD AVE,San Francisco,San Francisco,CA,94124,37.725704,-122.384616,11480,,,2014,,,,,,,,,,4807/027
Evergood Sausage Co.,,1379 UNDERWOOD AVE,San Francisco,San Francisco,CA,94124,37.72735,-122.387563,35000,,,2014,,,,,,,,,,4811/003
1250 VAN DYKE AVE,,1250 VAN DYKE AVE,San Francisco,San Francisco,CA,94124,37.725346,-122.385706,20500,,,2014,,,,,,,,,,4812/037
Molinari Salame,,1401 YOSEMITE AVE,San Francisco,San Francisco,CA,94124,37.724833,-122.388132,11965,,,2014,,,2069.1,,2035.2,,,902.4,,4847/024
1440 BANCROFT AVE,,1440 BANCROFT AVE,San Francisco,San Francisco,CA,94124,37.723952,-122.389902,10000,,,2014,,,,,,,,,,4850/019
1315 Armstrong Ave,,1313 ARMSTRONG AVE,San Francisco,San Francisco,CA,94124,37.723425,-122.387234,14968,,,2014,,159.8,501.7,159.8,501.7,,,195,,4851/017
"Kin Wo Construction, Inc.",,2401 INGALLS ST,San Francisco,San Francisco,CA,94124,37.723759,-122.388827,10000,,,2014,1,105.3,330.7,105.3,330.7,,,85.9,,4851/023
1415 Bancroft,,1415 BANCROFT AVE,San Francisco,San Francisco,CA,94124,37.723665,-122.389391,31973,,,2014,95,3.5,10.9,3.5,10.9,,,9.1,,4879/017
5815 3RD ST,,5815 3RD ST,San Francisco,San Francisco,CA,94124,37.725088,-122.394328,20470,,,2014,,,,,,,,,,4881/022
1600 DONNER AVE,,1600 DONNER AVE,San Francisco,San Francisco,CA,94124,37.723299,-122.39206,135328,,,2014,60,36.5,114.5,33.8,106.1,,,402.5,,4881/023
2600 INGALLS ST,,2600 INGALLS ST,San Francisco,San Francisco,CA,94124,37.72257,-122.389906,10760,,,2014,,,,,,,,,,4882/001
1385 CARROLL AVE,,1385 CARROLL AVE,San Francisco,San Francisco,CA,94124,37.722589,-122.389172,10000,,,2014,,,,,,,,,,4883/018
1240 EGBERT AVE,,1240 EGBERT AVE,San Francisco,San Francisco,CA,94124,37.721143,-122.389948,10000,,,2014,,,,,,,,,,4909/031
1260 EGBERT AVE,,1260 EGBERT AVE,San Francisco,San Francisco,CA,94124,37.721298,-122.390228,10000,,,2014,,,,,,,,,,4909/032
