Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Portfolio Manager ID,Philadelphia Building ID
0981-Philadelphia - Oxford Ave.,Non-Refrigerated Warehouse,6204 Oxford Ave,Philadelphia,Philadelphia,PA,19111,40.041444,-75.088279,62835,,2009,2014,82,7.1,22.4,,,,,60,0.063658789,3663692,884220920
1198-Philadelphia - Roosevelt BL,Non-Refrigerated Warehouse,12005 Roosevelt Blvd,Philadelphia,Philadelphia,PA,19154,,,108232,,2009,2014,83,21.4,38.6,,,,,190.5,,3663826,884269100
Charles Schober Company,Non-Refrigerated Warehouse,2024 North 2nd Street,Philadelphia,Philadelphia,PA,19122,,,83950,,1923,2014,95,8.3,11.6,,,,,46.2,1.256700417,3673448,884080331
Bodek and Rhodes,Non-Refrigerated Warehouse,2951 Grant Ave,Philadelphia,Philadelphia,PA,19114,40.073484,-75.015339,217000,,1960,2014,83,30.4,95.5,,,,,883.9,0.008294931,3679497,884287500
"Betty, Inc",Non-Refrigerated Warehouse,1801 S Swanson Street,Philadelphia,Philadelphia,PA,19148,39.925235,-75.145223,400000,,1948,2014,100,5.4,7,,,,,211,0.5815,3690843,884004000
"4250 Wissahickon Avenue, Inc.",Non-Refrigerated Warehouse,4250 Wissahickon Ave.,Philadelphia,Philadelphia,PA,19129,40.013016,-75.169163,77456,,1938,2014,48,27.9,62.1,,,,,213.1,1.928837017,3696620,884131060
"9250 Ashton Road, Inc.",Non-Refrigerated Warehouse,9250 Ashton Rd.,Philadelphia,Philadelphia,PA,19114,40.065354,-75.01977,289713,,1966,2014,98,18.2,29.6,,,,,397.2,0.096647372,3696624,884226510
Cambridge Hanover 3250 S. 76th,Non-Refrigerated Warehouse,3250 S. 76th St.,Philadelphia,Philadelphia,PA,19153,39.901452,-75.23143,247447,,1990,2014,,,,,,,,,0.243284421,3697846,884167500
Good Food Lab,Non-Refrigerated Warehouse,428 E Erie Ave,Philadelphia,Philadelphia,PA,19134,40.006748,-75.119768,70483,,1934,2014,65,21.4,60.8,,,,,184.6,2.694266703,3772933,884047900
Lesco Paper & Box Co,Non-Refrigerated Warehouse,651 E. Wyoming Ave,Philadelphia,Philadelphia,PA,19120,40.019849,-75.11072,115000,,1921,2014,82,7.7,24.2,,,,,118.9,1.710434783,3773319,884185500
Ziff & Co.,Non-Refrigerated Warehouse,2800 Black Lake Pl.,Philadelphia,Philadelphia,PA,19154,40.109672,-74.983143,58372,,1987,2014,46,62,125.9,,,,,329.4,3.41602138,3773606,884292570
"Muller, Inc.",Non-Refrigerated Warehouse,2800 Grant Ave.,Philadelphia,Philadelphia,PA,19114,,,214815,,1984,2014,48,31.5,89.2,,,,,825.2,2.300118707,3773860,884224004
State 6225 LP,Non-Refrigerated Warehouse,6201 Tacony St,Philadelphia,Philadelphia,PA,19135,40.015952,-75.051527,72000,,1929,2014,,11.4,35.8,,,,,109.8,1.981944444,3774263,884178501
Pier 84,Non-Refrigerated Warehouse,2401 south columbus boulevard,Philadelphia,Philadelphia,PA,19148,39.916813,-75.138393,540000,,1919,2014,,4.3,13.6,,,,,313.7,0.727037037,3782254,884463825
59th street,Non-Refrigerated Warehouse,2001 north 59th street,Philadelphia,Philadelphia,PA,19131,,,750000,,1953,2014,94,6,18.8,,,,,601.4,,3782267,884220500
Pier 80 South,Non-Refrigerated Warehouse,2101 S. Columbus Blvd,Philadelphia,Philadelphia,PA,19148,39.920681,-75.140944,581000,,1930,2014,,4.9,15.4,,,,,380.9,,3782718,884463835
2501 Grant Ave,Non-Refrigerated Warehouse,2501 Grant Ave,Philadelphia,Philadelphia,PA,19114,,,121200,,1960,2014,99,9.2,19,,,,,102.8,0.701320132,3782942,884286000
Bridge Industrial Center Associates,Non-Refrigerated Warehouse,2251 Fraley Street,Philadelphia,Philadelphia,PA,19137,40.010284,-75.064451,160000,,1912,2014,100,2.2,5.2,,,,,36.4,0.98625,3790288,884213000
25765-Philadelphia/Castor Ave OC,Non-Refrigerated Warehouse,2345 Castor,Philadelphia,Philadelphia,PA,19134,,,104450,,2000,2014,91,25.7,47.4,,,,,224.9,6.433700335,3800031,884193500
23103-Philadelphia / Byberry Road,Non-Refrigerated Warehouse,1251 Byberry Road,Philadelphia,Philadelphia,PA,19116,,,90551,,2000,2014,100,4,10.2,,,,,41.5,1.766960056,3800032,884236410
23216-Philadelphia / Oxford AVE,Non-Refrigerated Warehouse,6225 Oxford Ave,Philadelphia,Philadelphia,PA,19111,40.042166,-75.088448,103528,,2000,2014,100,4.4,13.8,,,,,60.9,0.753419365,3800033,884220900
