Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Portfolio Manager ID,Philadelphia Building ID
NATIONAL GREYHOUND ADOPTION PROGRAM,Other,6801 NEW STATE ROAD,Philadelphia,Philadelphia,PA,19135,40.021064,-75.039309,66786,,1956,2014,,14.9,15.6,,,,,52.9,4.280837301,3686050,884351865
TORRESDALE PLAZA LP,Other,8803-35 TORRESDALE AVE,Philadelphia,Philadelphia,PA,19136,,,182000,,1969,2014,,26,59.9,,,,,480.7,6.379120879,3686205,882369810
DUTTON ROAD ASSOC.,Other,10901 DUTTON ROAD,Philadelphia,Philadelphia,PA,19154,40.089078,-74.990098,96000,,1975,2014,,32.1,58.2,,,,,254.6,8.347916667,3707270,884282500
St. Peter the Apostle Parish,Other,1019 North 5th Street,Philadelphia,Philadelphia,PA,19123,,,85426,,1843,2014,,3.3,3.7,,,,,15.7,4.028047667,3751822,771211200
Jomar Textiles. Inc.,Other,5300 Whitaker Ave,Philadelphia,Philadelphia,PA,19124,40.032685,-75.101816,93650,,1960,2014,,15.7,49.3,,,,,197,1.792845702,3776479,882885808
Logan Plaza,Other,5201 Old York Rd,Philadelphia,Philadelphia,PA,19141,40.032401,-75.145619,270000,,1974,2014,,62.5,180.1,,,,,2108.2,52.59333333,3776480,
RICHMOND WATERFRONT INDUSTRIAL PARK,Other,2950 KIRKBRIDE STREET,Philadelphia,Philadelphia,PA,19137,39.999777,-75.064901,256000,,1963,2014,,26.1,55.1,,,,,628.8,1.908203125,3776486,884209570
1600 Broad Associates,Other,1600-36 North Broad St,Philadelphia,Philadelphia,PA,19121,,,95045,,2006,2014,,124.9,304.8,,,,,1268.1,20.83749803,3788171,882938305
"Measy Clyde & Etal, Paul Shcaly",Other,9119 Frankford Ave,Philadelphia,Philadelphia,PA,19114,,,139425,,1951,2014,,85.3,113,,,,,987.4,0.956786803,3789968,884259100
Philadelphia Business & Technology Center,Other,"5070 Parkside Avenue, Suite 2400",Philadelphia,Philadelphia,PA,19131,39.980626,-75.221136,280276,,1930,2014,96,34,93.6,,,,,1137.9,8.173015171,3799206,883371900
Burgess Center,Other,200 W. Chelten Ave,Philadelphia,Philadelphia,PA,19141,40.03141,-75.179258,86321,,1990,2014,,,,,,,,,20.8512413,3810865,882938075
Kirkbride Center,Other,111 N. 49th St.,Philadelphia,Philadelphia,PA,19139,,,390125,,1889,2014,,56.9,154.3,,,,,2603.7,28.70644024,3813588,883081705
Schmidts Retail,Other,180 W. Girard Ave.,Philadelphia,Philadelphia,PA,19123,39.969361,-75.138877,127470,,2011,2014,,118.4,349,,,,,1597.9,120.7429199,3820151,882932475
Salvation Army Kroc Center,Other,4200 Wissahickon Ave,Philadelphia,Philadelphia,PA,19129,40.011489,-75.168097,130620,,2010,2014,,223.3,433.6,,,,,2553.9,24.15633134,3830390,776293510
Christ the King,Other,3252 Chesterfield Rd.,Philadelphia,Philadelphia,PA,19114,40.075564,-74.99594,64693,,1963,2014,100,37,49.2,,,,,191.7,19.00978468,3858410,778113000
Globe Dye Works,Other,4520 Worth St,Philadelphia,Philadelphia,PA,19124,40.008852,-75.080622,129025,,1900,2014,,19.8,33.3,,,,,198,0.684363495,3876056,884090500
Waste Management of PA - Phila MRF & Forge,Other,5245 Bleigh Ave,Philadelphia,Philadelphia,PA,19136,40.02453,-75.026327,206027,,1920,2014,,80,251.3,,,,,2742.5,0.602348236,3876647,884253000
One Franklin Town - Parking Garage,Other,1701 Callowhill Street,Philadelphia,Philadelphia,PA,19103,39.960249,-75.167178,122667,,1988,2014,,8.3,26.1,,,,,136.3,0.012228228,3878558,881146355
Fox Chase Cancer Center,Other,333 Cottman Ave,Philadelphia,Philadelphia,PA,19111,40.078306,-75.112656,1086260,,1947,2014,,271,629.2,,,,,16875.8,42.90280412,3879811,778022500
Salvation Army Divisional Headquarters,Other,701 North Broad Street,Philadelphia,Philadelphia,PA,19123,,,97500,,1970,2014,,86.4,229.1,,,,,968.5,12.8974359,3881229,771065001
Headhouse Retail,Other,1131 Market Street,Philadelphia,Philadelphia,PA,19107,,,107000,,1990,2014,,111.7,261.3,,,,,3210.3,1.078504673,3884965,883705100
4301 Delaware Ave Unit A,Other,4301 Delaware Ave Unit A,Philadelphia,Philadelphia,PA,19137,,,52000,,1955,2014,,165.2,518.9,,,,,1150.3,10.19230769,3892826,884211510
3000 Orthodox St,Other,3000 Orthodox St,Philadelphia,Philadelphia,PA,19137,39.992593,-75.069349,67326,,1950,2014,,23.7,69.1,,,,,199.9,4.059352999,3892827,884206500
La Salle #6,Other,625-635 E Wister St,Philadelphia,Philadelphia,PA,19144,,,284736,,1904,2014,,239.3,451.8,,,,,5825.3,8.751264329,3893226,776008010
New Covenant Church of Philadelphia,Other,7500 Germantown Ave,Philadelphia,Philadelphia,PA,19119,40.063758,-75.193714,331000,,1893,2014,,963.9,1052.7,,,,,17465.1,4.579758308,3912172,775165500
Richmond Mills LP,Other,2095 E Willard St,Philadelphia,Philadelphia,PA,19134,39.992947,-75.10799,77930,,1905,2014,,126.6,133,,,,,524.2,36.00795586,3950672,884843600
Richmond Mills LP,Other,2100 E Willard St,Philadelphia,Philadelphia,PA,19134,,,111570,,1905,2014,,105.9,164.4,,,,,856.9,,3950682,884843500
Gimme Shelter LLC,Other,2127 Gillingham St,Philadelphia,Philadelphia,PA,19124,40.009442,-75.08019,51829,,1920,2014,,30.7,44.2,,,,,108.5,18.59576685,3950687,884639700
PEI-Genesis,Other,2180 Hornig Road,Philadelphia,Philadelphia,PA,19116,40.112621,-74.99782,20000,,1987,2014,,21.6,22.9,,,,,23.2,5.415,3958205,883095110
Sacred Heart Home,Other,1315 W. Hunting Park Avenue,Philadelphia,Philadelphia,PA,19140,40.016675,-75.147628,57600,,1953,2014,,61.8,119.3,,,,,310.1,30.15277778,3958716,881448300
Penn Dion,Other,915 Spring Garden Street,Philadelphia,Philadelphia,PA,19123,39.961666,-75.153561,90000,,1900,2014,,8.4,26.3,,,,,100.9,9.566666667,3960850,884027115
Chapel Manor,Other,1104 Welsh Road,Philadelphia,Philadelphia,PA,19115,40.090282,-75.046507,54819,,1973,2014,,100.6,315.9,,,,,738.4,186.4298874,3964499,881435400
7400 Holstein Ave.,Other,7400 Holstein Ave.,Philadelphia,Philadelphia,PA,19153,39.902518,-75.228337,52800,,2003,2014,,85.1,208.6,,,,,481.8,3.903409091,3989162,884167024
Methodist Home for Children,Other,4300 Monument Rd,Philadelphia,Philadelphia,PA,19131,,,114073,,1900,2014,,71.9,125.3,,,,,655.2,214.0576648,3989764,881445900
Dickinson Square,Other,1500 South Christopher Columbus Blvd,Philadelphia,Philadelphia,PA,19147,,,69064,,1950,2014,,61,135.9,,,,,282.7,5.956793699,3993123,883504600
MARKETPLACE DESIGN CENTER,Other,2400 MARKET STREET,Philadelphia,Philadelphia,PA,19103,,,356000,,1921,2014,,122.7,377.1,,,,,5734.4,6.99494382,4014168,884054000
"Driscoll Construction Co., Inc.",Other,3901 D Street,Philadelphia,Philadelphia,PA,19124,,,61034,,1949,2014,,4.5,14.2,,,,,36.9,0.190058,4077977,884044800
1200 E. Erie Avenue,Other,1200 E. Erie Avenue,Philadelphia,Philadelphia,PA,19124,40.005545,-75.105041,193124,,1925,2014,,31.2,59.1,,,,,516.5,11.45119198,4082877,884110000
Facilities 4100ches,Other,4100 Chestnut St.,Philadelphia,Philadelphia,PA,19104,,,67779,,1940,2014,,1.5,4.8,,,,,13.9,,4140104,884099200
Historical Society of Pennsylvania,Other - Education,1300 Locust Street,Philadelphia,Philadelphia,PA,19107,,,71316,,1910,2014,,149.2,297.5,,,,,993.7,25.05468619,3657737,771739000
HMS SCHOOL,Other - Education,4400 Baltimore ave,Philadelphia,Philadelphia,PA,19104,,,80000,,1885,2014,,86.4,153.7,,,,,561.7,37.80625,3788376,773594600
OUR LADY OF VICTORY HALL,Other - Education,12645 DUNKS FERRY RD,Philadelphia,Philadelphia,PA,19154,40.101774,-74.972662,11869,,1996,2014,,56.2,95.1,,,,,52,6.285280984,3788380,778144000
St. Monica Sr. School,Other - Education,2500 S 16th st,Philadelphia,Philadelphia,PA,19145,,,53616,,1971,2014,,66.4,112.3,,,,,277.4,17.51902417,3877243,773200000
Esperanza,Other - Education,4231-4261 N 5th Street,Philadelphia,Philadelphia,PA,19140,,,181098,,1930,2014,,56.5,127.5,,,,,1380.2,2.603010525,3884096,883003900
LA Liberty,Other - Education,105 S 7th Street,Philadelphia,Philadelphia,PA,19106,,,50000,,2003,2014,,7.5,23.2,,,,,1077.1,53.33,3962102,883010510
Art Museum Main Bldg & Perelman Bldg,Other - Entertainment/Public Assembly,2600 Ben Franklin Pkwy,Philadelphia,Philadelphia,PA,19130,,,804000,,1929,2014,,186.9,365,,,,,13895.3,31.01355721,3281341,782513700
Great Northeast Plaza,Other - Mall,2101-41 Cottman Avenue,Philadelphia,Philadelphia,PA,19152,,,278814,,1960,2014,,72.8,192.6,,,,,2329,8.563773699,3783072,882065120
"3265 S 61ST ST ""Jerry's Corner""",Other - Mall,3265 S 61ST ST,Philadelphia,Philadelphia,PA,19153,39.9187,-75.209618,55200,,1955,2014,,74.9,189.6,,,,,456.2,15.10869565,3957443,882089000
6000 Woodland Partners LP,Other - Mall,6000 Woodland Avenue,Philadelphia,Philadelphia,PA,19142,,,97029,,1972,2014,,4.5,14.2,,,,,58.9,60.88489008,3971641,882052200
Southern Depot,Other - Public Services,1900 Johnston Street,Philadelphia,Philadelphia,PA,19145,,,217000,,1924,2014,,223.2,333.8,,,,,3406.7,39.07788018,2704868,773628000
Comly Depot,Other - Public Services,6000 Penn Street,Philadelphia,Philadelphia,PA,19149,40.030335,-75.073881,105000,,1921,2014,,201,315.9,,,,,1546.5,78.92285714,2705460,884353910
Callowhill Depot,Other - Public Services,5900 Callowhill Street,Philadelphia,Philadelphia,PA,19151,,,213000,,1913,2014,,169.7,270.2,,,,,2676.9,23.52676056,2705476,884340559
HBG-Holmesburg Prison Complex,Other - Public Services,8201 Torresdale Ave,Philadelphia,Philadelphia,PA,19136,40.037839,-75.020253,716651,,1896,2014,,17.8,32.9,,,,,1075.7,3.930225451,3289919,786537201
Allegheny Depot,Other - Public Services,2600 W. Allegheny Avenue,Philadelphia,Philadelphia,PA,19132,40.004094,-75.17228,208000,,1986,2014,,138.8,239.4,,,,,2286.3,25.37980769,3690996,884352645
Midvale Depot,Other - Public Services,4301 Wissahickon Avenue,Philadelphia,Philadelphia,PA,19129,40.01178,-75.168306,443000,,1996,2014,,145.5,269.1,,,,,5414.1,27.7724605,3694563,884069525
Woodland Shop,Other - Public Services,4901 Woodland Avenue,Philadelphia,Philadelphia,PA,19143,,,262000,,1985,2014,,78.3,131.2,,,,,1585.7,5.947328244,3694564,773629501
Berridge Shop,Other - Public Services,200 West Wyoming Avenue,Philadelphia,Philadelphia,PA,19140,,,475000,,1955,2014,,110.4,234.7,,,,,4965.5,13.53894737,3694569,884353345
Courtland Shop,Other - Public Services,4529 North 3rd Street,Philadelphia,Philadelphia,PA,19140,,,53000,,1952,2014,,199,217.2,,,,,577.1,11.00943396,3694570,884351660
Overbrook Shop,Other - Public Services,5320 West Jefferson Street,Philadelphia,Philadelphia,PA,19131,,,200000,,1994,2014,,77.5,149.9,,,,,1352.6,1.8325,3694574,521034500
Frankford Depot,Other - Public Services,Bridge Street &amp;&amp; Frankford Avenue,Philadelphia,Philadelphia,PA,19124,,,102000,,1957,2014,,213,379,,,,,1814.7,25.74215686,3694576,884353875
NARA,Other - Public Services,14700 Townsend Road,Philadelphia,Philadelphia,PA,19154,,,300000,,1994,2014,,48.9,109.9,,,,,1457.8,0.356,3790331,884292516
Boulevard/Unity District,Other - Public Services,4109 - 4111 Frankford Avenue,Philadelphia,Philadelphia,PA,19124,,,52642,,1950,2014,,105,265.8,,,,,610,14.38205235,3884224,883087200
Legacy Youth Tennis and Education Center,Other - Recreation,4600 Ridge Avenue,Philadelphia,Philadelphia,PA,19129,,,77000,,2006,2014,,30.8,75.5,,,,,254.4,1.797402597,3698115,784377500
"14,14A-Daskalakis Athletic Center / Recreation Center",Other - Recreation,3301 Market Street,Philadelphia,Philadelphia,PA,19104,,,265093,,1976,2014,,104.9,236.7,,,,,2847.1,10.47783231,3762536,774530510
The Lenfest Center,Other - Recreation,3890 N. 10th St.,Philadelphia,Philadelphia,PA,19140,40.011536,-75.143606,54280,,2007,2014,,58.3,119.9,,,,,291.2,1.464627856,3877081,777253420
Fleet Shop 134,Other - Services,100 E Hunting Park Ave,Philadelphia,Philadelphia,PA,19125,40.01384,-75.12598,59962,,1968,2014,,192.6,301.3,,,,,843,3.430505987,3369313,884460965
10814 NE AVENUE,Other - Services,10814 NE AVENUE,Philadelphia,Philadelphia,PA,19116,,,217560,,1979,2014,,21.4,35.6,,,,,715.1,1.128424343,3952012,884240500
The Children's Hospital fo Philadelphia,Other - Specialty Hospital,34th Street and Civic Center Blvd.,Philadelphia,Philadelphia,PA,19104,,,4135887,,1974,2014,,243.8,475.3,,,,,88648.1,155.0852574,1328441,773000800
Friends Hospital,Other - Specialty Hospital,4641 Roosevelt Boulevard,Philadelphia,Philadelphia,PA,19124,40.028459,-75.100768,326010,,1950,2014,,180.1,279.7,,,,,3880.4,33.30449986,3685966,778031022
Fairmont Hospital,Other - Specialty Hospital,561 Fairthorne Avenue,Philadelphia,Philadelphia,PA,19128,40.043148,-75.222659,89344,,1997,2014,,84.3,197.4,,,,,775.9,104.1368195,3774255,881436400
Belmont Center for Comprehensive Treatment,Other - Specialty Hospital,4200 Monument Road,Philadelphia,Philadelphia,PA,19131,39.999597,-75.215921,175462,,1979,2014,,182.8,332.1,,,,,1961.3,51.33020255,3877421,774012010
Shriners Hospital for Children,Other - Specialty Hospital,3551 North Broad St.,Philadelphia,Philadelphia,PA,19140,,,172340,,1997,2014,,216.2,453,,,,,3627.4,46.18370663,3959476,777533101
Magee Rehabilitation Hospital,Other - Specialty Hospital,1513 Race St,Philadelphia,Philadelphia,PA,19102,,,146912,,1981,2014,,117.5,287.6,,,,,1849.3,48.2690318,3971353,772046000
WTXF TV,Other - Technology/Science,330 Market Street,Philadelphia,Philadelphia,PA,19106,,,84596,,1971,2014,,242.8,654.3,,,,,2189.1,8.88576292,3773931,883011500
PECO Oregon Shops,Other - Utility,2610 S DELAWARE AVE,Philadelphia,Philadelphia,PA,19148,,,155863,,1955,2014,,40.2,126.1,,,,,837.8,0.004491124,3707307,771601000
Powerback Rehabilitation,Outpatient Rehabilitation/Physical Therapy,1526 Lombard Street,Philadelphia,Philadelphia,PA,19146,,,103240,,1818,2014,,100,231.3,,,,,1052.1,94.29290972,3958035,881436700
West Philadelphia Community,Outpatient Rehabilitation/Physical Therapy,137 S. 58th Street,Philadelphia,Philadelphia,PA,19139,39.958631,-75.237403,54240,,1919,2014,,16.5,33.8,,,,,82.1,5.54019174,4567894,774713050
146-MARINE CENTER - PIER #19,Parking,MARINE CENTER - PIER #19,Philadelphia,Philadelphia,PA,19106,,,285000,,2000,2014,,187,399.2,,,,,2947.8,20.04701754,3520886,884018819
164-JUNIPER STREET PARKING GARAGE,Parking,101-103 JUNIPER STREET,Philadelphia,Philadelphia,PA,19103,,,56997,,2007,2014,,14.2,44.7,,,,,108.7,0.275453094,3579262,883404500
Avenue of the Arts,Parking,1501 Spruce Street,Philadelphia,Philadelphia,PA,19102,,,243057,,2002,2014,,512.5,1162.2,,,,,886.6,11.16075653,3637445,883423600
Parkway Building,Parking,150 N. Broad Street,Philadelphia,Philadelphia,PA,19102,,,173512,,1987,2014,,212.5,620.2,,,,,539.4,4.139194984,3682858,883413000
Liberty Place,Parking,20 South 16th Street,Philadelphia,Philadelphia,PA,19109,,,434000,,1986,2014,,8,25.2,,,,,466.4,,3682894,883422300
12th and Filbert,Parking,1201 Filbert Street,Philadelphia,Philadelphia,PA,19107,,,316013,,2002,2014,,405.7,1159.5,,,,,1460.1,22.60888001,3683011,883430700
700 Duncan Building,Parking,700 Duncan Building,Philadelphia,Philadelphia,PA,19106,,,184383,,1979,2014,,110.3,346.4,,,,,1220.9,26.14449271,3689468,883102000
12th and Walnut,Parking,1201 Walnut Street,Philadelphia,Philadelphia,PA,19102,,,233571,,1979,2014,,188,590.4,,,,,412.5,17.60278459,3736473,883408500
MidTown Garage,Parking,1416 Chestnut St.,Philadelphia,Philadelphia,PA,19102,,,97778,,1984,2014,,11.8,33.1,,,,,139.6,0.110454294,3773802,883421500
Wood Street Garage,Parking,306-20 N Broad Street,Philadelphia,Philadelphia,PA,19102,,,282322,,1994,2014,,15.4,48.4,,,,,582.2,,3790435,772025500
PreFlight Airport Parking PHL,Parking,4700 Island Ave,Philadelphia,Philadelphia,PA,19153,39.8883,-75.232796,221000,,1959,2014,,11.2,35.2,,,,,331.4,0.743438914,3820208,884171500
Bourse Garage,Parking,400 Ranstead St.,Philadelphia,Philadelphia,PA,19106,39.94942,-75.147464,192322,,1989,2014,,92,289,,,,,246.4,3.074011294,3857948,883409600
Sloane Honda,Parking,9903 Bustleton Avenue,Philadelphia,Philadelphia,PA,19115,40.096851,-75.030519,190638,,1957,2014,,158.9,381.9,,,,,1064.4,3.011466759,3859682,882174600
Tuttleman Parking Garage,Parking,1700 South St,Philadelphia,Philadelphia,PA,19146,,,156232,,1985,2014,,6.6,20.6,,,,,137.1,0.353320703,3862680,772035000
8th & filbert,Parking,800-08 Arch Street,Philadelphia,Philadelphia,PA,19107,,,158600,,1962,2014,,21.6,67.8,,,,,458.4,0.617276166,3882220,781005000
Stephen Pang,Parking,1030-38 Race Street,Philadelphia,Philadelphia,PA,19107,,,108108,,1985,2014,,52.8,113.1,,,,,543.9,23.21659822,3883003,883430000
Hawk's Landing Parking Facility and Retail,Parking,2461 N. 54th Street,Philadelphia,Philadelphia,PA,19131,,,168365,,2008,2014,,323.3,621.4,,,,,525.5,9.79716687,3884838,774510100
Walnut Bridge Parking & Storage,Parking,200 South 24th St,Philadelphia,Philadelphia,PA,19103,,,138176,,1913,2014,,151.2,474,,,,,1301.9,9.678960167,3885307,884055850
10th & Ludlow,Parking,1025-29 Chesnut Street,Philadelphia,Philadelphia,PA,19107,,,147208,,1954,2014,,14.7,46.1,,,,,289.1,1.804249769,3891006,781051065
Market Street East,Parking,901-13 Filbert Street,Philadelphia,Philadelphia,PA,19107,,,266700,,1977,2014,,20.2,63.4,,,,,720.7,2.260592426,3891105,781092200
Gateway Garage,Parking,1529 Spring Street,Philadelphia,Philadelphia,PA,19103,,,423184,,1991,2014,,5.9,18.6,,,,,335,0.097357178,3895425,782597700
Urban Growth Property,Parking,107 South 10th Street,Philadelphia,Philadelphia,PA,19107,,,209962,,2005,2014,,237.5,745.6,,,,,273.8,0.823006068,3955030,883401700
Rittenhouse Parking Garage,Parking,2000-04 Walnut Street,Philadelphia,Philadelphia,PA,19103,,,80105,,1989,2014,,10,31.5,,,,,107.5,8.905811123,3959060,883427700
"Philadelphia Chancellor, LP",Parking,1602-34 Chancellor St.,Philadelphia,Philadelphia,PA,19103,,,117340,,1952,2014,,181.4,569.6,,,,,93.5,2.308675643,3976339,883426100
PKG GAR_ LIACOURAS CTR,Parking,1700 N. 15TH STREET,Philadelphia,Philadelphia,PA,19121,,,409339,,1970,2014,,7.5,23.5,,,,,410,1.342408126,3979429,777573005
BOYER PKG GAR on Tioga Street,Parking,3501 N BROAD ST,Philadelphia,Philadelphia,PA,19140,,,188099,,1970,2014,,21.1,64.9,,,,,524.7,0.035619541,3980267,777532901
ONTARIO WEST PKG GAR,Parking,1450 W. Ontario St,Philadelphia,Philadelphia,PA,19140,,,482000,,1996,2014,,6.8,18.2,,,,,380.3,0.014315353,3998715,777574550
12 SOUTH 23RD STREET,Parking,12 S. 23RD STREET,Philadelphia,Philadelphia,PA,19103,,,138576,,1981,2014,,92,288.7,,,,,768.3,4.93086826,4020021,883426600
Parking Deck 1,Parking,317 south 8th st,Philadelphia,Philadelphia,PA,19107,,,220890,,1963,2014,,4.6,14.5,,,,,136.8,,4052093,771005200
12th && Sansom,Parking,123 s 12th st,Philadelphia,Philadelphia,PA,19107,,,78000,,1960,2014,,533.7,1675.9,,,,,142.9,3.135897436,4056370,883403000
Amtrak Parking Garage,Parking,2931L Arch Street,Philadelphia,Philadelphia,PA,19104,39.957039,-75.182234,475200,,2004,2014,,6.8,21.2,,,,,429.7,,4104223,883410400
3600 Civic Center Garage,Parking,3600 Civic Center Blvd.,Philadelphia,Philadelphia,PA,19104,39.94767,-75.194098,400000,,2014,2014,,,,,,,,,,4428360,773740401
Kimmel Center for the Performing Arts,Performing Arts,300 South Broad Street,Philadelphia,Philadelphia,PA,19102,,,468307,,2001,2014,,148.6,280.8,,,,,5330.6,18.18507945,3773257,772727205
Academy of Music,Performing Arts,240 South Broad Street,Philadelphia,Philadelphia,PA,19102,,,144080,,1857,2014,,82.6,206.7,,,,,1328.7,24.40241532,3892261,772727000
laundry mall,"Personal Services (Health/Beauty, Dry Cleaning, etc)",413 E. Allegheny Ave.,Philadelphia,Philadelphia,PA,19134,39.997676,-75.12253,47000,,1905,2014,,,,,,,,160.1,,3824714,884526200
4000 N American St,Police Station,4000 N American St,Philadelphia,Philadelphia,PA,19140,40.01229,-75.131629,117105,,1945,2014,,72.6,129.3,,,,,691.6,2.342342342,3892839,884039000
Curran Fromhold Correctional Facility,Prison/Incarceration,7901 State Rd,Philadelphia,Philadelphia,PA,19136,,,436250,,1995,2014,,275.5,551.4,,,,,10802.1,199.9044126,3281343,786504751
Detention Center,Prison/Incarceration,8201 State Rd,Philadelphia,Philadelphia,PA,19136,,,108960,,1963,2014,,362.3,623.1,,,,,3163.6,,3281345,786504751
Philadelphia Industrial Correction Center,Prison/Incarceration,8203 State Rd,Philadelphia,Philadelphia,PA,19136,,,200000,,1979,2014,,238.9,463,,,,,4177.5,409.6485,3281373,786504751
Riverside Correctional Facility,Prison/Incarceration,8001 State Rd,Philadelphia,Philadelphia,PA,19136,,,220000,,2004,2014,,124.5,257.6,,,,,2533.4,14.91090909,3281377,786504751
Hoffman Hall,Prison/Incarceration,3950 D ST - REAR,Philadelphia,Philadelphia,PA,19124,,,60160,,1919,2014,,157.5,303.1,,,,,823.4,182.4684176,3981473,881439700
Juvenile Justice Center - N 48th St (YSC),Prison/Incarceration,91 N 48th St,Philadelphia,Philadelphia,PA,19139,39.961441,-75.21644,160000,,2013,2014,,183.3,350,,,,,2531.4,,4066717,783707500
"M. Levin and Company, Inc.",Refrigerated Warehouse,326 Pattison Avenue,Philadelphia,Philadelphia,PA,19148,39.903103,-75.155733,83150,,1959,2014,52,65.8,189.8,,,,,678.3,1.702946482,3668236,884143500
Sysco Philadelphia Food Service Warehouse,Refrigerated Warehouse,600 packer avenue,Philadelphia,Philadelphia,PA,19148,,,534870,,1964,2014,85,43.1,130.3,,,,,3227.1,16.2798437,3689997,884142260
Pier 82 South,Refrigerated Warehouse,2201 S. Columbus Blvd,Philadelphia,Philadelphia,PA,19148,39.920191,-75.140623,125000,,1980,2014,21,106.4,304.7,,,,,1638.5,11.3808,3782623,781053600
2100 Hornig Rd,Refrigerated Warehouse,2100 Hornig Rd,Philadelphia,Philadelphia,PA,19114,40.112269,-74.998584,89190,,2001,2014,40,80.5,242.1,,,,,924.3,6.028702769,3783053,884233810
Procacci Brothers Sales Corp.,Refrigerated Warehouse,3333 S. Front Street,Philadelphia,Philadelphia,PA,19148,39.904546,-75.151806,315000,,1958,2014,48,92.3,244.1,,,,,3335.5,12.59809524,3790320,884149000
Procacci Brothers Sales Corp. B5,Refrigerated Warehouse,3501 S. Third Street,Philadelphia,Philadelphia,PA,19148,,,99545,,1968,2014,37,84.9,266.7,,,,,1132,17.38309307,3815287,884151000
Honor Foods,Refrigerated Warehouse,1801 North 5th Street,Philadelphia,Philadelphia,PA,19122,,,94500,,1983,2014,11,123.8,383.1,,,,,1545.5,15.42751323,3851366,884080210
Philadelphia Warehousing and Cold Storage,Refrigerated Warehouse,500 n Christopher Columbus Blvd,Philadelphia,Philadelphia,PA,19123,,,335538,,1891,2014,75,41.9,129.6,,,,,1856.4,9.193891601,3858135,884019029
Preferred Freezer Services-Phila,Refrigerated Warehouse,3101 South Third St,Philadelphia,Philadelphia,PA,19148,,,168000,,2007,2014,98,17.4,52.8,,,,,379.5,24.15535714,3951344,884150410
3031 Red Lion Rd.,Refrigerated Warehouse,3031 Red Lion Rd.,Philadelphia,Philadelphia,PA,19114,40.082177,-74.999803,91828,,1971,2014,82,67.1,115.1,,,,,485.7,0.294027965,3966784,884289001
Produce Garden,Refrigerated Warehouse,2041 - 2055 Coral Street,Philadelphia,Philadelphia,PA,19125,,,58740,,1950,2014,92,23.7,74.5,,,,,186.5,1.108273749,3967891,884346250
Eastern Surplus,"Repair Services (Vehicle, Shoe, Locksmith, etc)",5825 Tacony St,Philadelphia,Philadelphia,PA,19135,40.012849,-75.057717,80140,,1950,2014,,13.1,26.7,,,,,95.8,0.837284752,3696167,884177825
JM Auto Spot,"Repair Services (Vehicle, Shoe, Locksmith, etc)",3711 Sepviva Street,Philadelphia,Philadelphia,PA,19137,39.997694,-75.096706,48000,,1910,2014,,1.2,3.7,,,,,7.7,,3951369,884201375
1801 Building,"Repair Services (Vehicle, Shoe, Locksmith, etc)",1801 North 9th Street,Philadelphia,Philadelphia,PA,19122,,,168718,,1900,2014,,10,12.8,,,,,104.7,76.05946016,4128418,777630000
Fleet Shop 258 / WHS,"Repair Services (Vehicle, Shoe, Locksmith, etc)",1481 N 26th St,Philadelphia,Philadelphia,PA,19121,,,59962,,1970,2014,,92,150.2,,,,,417.1,2.469897602,4361950,782326200
Bartram Transfer Station- Fleet Shop 290,"Repair Services (Vehicle, Shoe, Locksmith, etc)",5014 Grays Avenue,Philadelphia,Philadelphia,PA,19143,39.937742,-75.211295,159958,,1959,2014,,19.7,31.7,,,,,286.7,0.991510271,4393307,783181200
Spruce Residence Hall,Residence Hall/Dormitory,1224-34 Spruce Street,Philadelphia,Philadelphia,PA,19107,,,79412,,1922,2014,,66.6,174.8,,,,,602.8,52.5172518,2849421,772508050
Juniper Residence Hall,Residence Hall/Dormitory,311 South Juniper Street,Philadelphia,Philadelphia,PA,19107,,,79233,,1923,2014,30,109.8,216.2,,,,,771.1,71.52322896,2851085,772508070
Pine Residence Hall,Residence Hall/Dormitory,1500-02 Pine Street,Philadelphia,Philadelphia,PA,19102,,,53577,,1920,2014,,70.4,187,,,,,434.4,62.03781473,2858164,772516000
Connelly House,Residence Hall/Dormitory,1212 Ludlow St,Philadelphia,Philadelphia,PA,19107,,,60000,,2010,2014,60,65.1,158.1,,,,,362,67.92166667,3137016,886717500
Kate's Place,Residence Hall/Dormitory,1929 Sansom St,Philadelphia,Philadelphia,PA,19103,39.951221,-75.17305,60000,,1900,2014,26,116.6,253.5,,,,,675.4,82.435,3155346,886617500
1007-15 W. LEHIGH AVENUE,Residence Hall/Dormitory,1007-15 W. LEHIGH AVENUE,Philadelphia,Philadelphia,PA,19133,,,60000,,1940,2014,56,75.4,170.6,,,,,452.1,73.825,3569581,881134805
2815 N. 17TH STREET,Residence Hall/Dormitory,2815 N. 17TH STREET,Philadelphia,Philadelphia,PA,19132,39.996634,-75.158912,60000,,1945,2014,24,121.7,245.8,,,,,661.5,103.41,3570108,881427010
