Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2)
,Hotel,88 6th Street,Minneapolis,Hennepin,MN,55402,,,208442,,2007,2014,65,105.2,209.2,102.7,206.8,,,2663.6,
,Office,90 South 7th Street,Minneapolis,Hennepin,MN,55402,,,1497930,,1987,2014,92,56.3,152.1,54.1,149.5,,,13129.4,
,Office,900 2nd Ave. South,Minneapolis,Hennepin,MN,55402,,,439860,,1984,2014,44,104,311.6,100.3,303.5,,,6957.9,
,Other - Lodging/Residential,900 4th St N,Minneapolis,Hennepin,MN,55401,,,130000,,1860,2014,,105.6,144.5,97.8,136.3,,,1047.7,
,Retail Store,900 NICOLLET MALL,Minneapolis,Hennepin,MN,55403,,,185238,,2001,2014,70,91.4,250.4,87.5,246.6,,,2986.4,
,Financial Office,901 3rd Ave. South,Minneapolis,Hennepin,MN,55402,,,1266008,,2002,2014,93,66.6,170.4,63.7,166.9,,,10680.6,
,Office,901 Marquette Ave,Minneapolis,Hennepin,MN,55402,,,751583,,1991,2014,88,66.5,177.6,63.8,173.8,,,7798.1,
,College/University,910 Elliot Ave,Minneapolis,Hennepin,MN,55404,,,117144,,1900,2014,,64.6,115.2,60.6,110.9,,,806.1,
,Parking,910 LaSalle Avenue,Minneapolis,Hennepin,MN,55402,,,210700,,1954,2014,,5.7,16.5,5.4,15.6,,,225.5,
,Office,920 2nd Ave. South,Minneapolis,Hennepin,MN,55402,,,342765,,1986,2014,80,75.3,204.9,71,197.1,,,3670.8,
,Parking,921 Marquette Avenue,Minneapolis,Hennepin,MN,55402,,,461314,,1961,2014,,110.2,149.7,110.2,149.7,,,634,
10th and Hennepin Ramp,Parking,935 Hennepin Avenue,Minneapolis,Hennepin,MN,55403,,,552000,,1998,2014,,10.8,22.8,10,21.6,,,784.4,
10th and LaSalle Ramp,Parking,915 LaSalle Avenue,Minneapolis,Hennepin,MN,55403,,,360000,,2001,2014,,10.8,23.6,10.1,22.6,,,531.6,
City Hall,Office,350 South 5th Street,Minneapolis,Hennepin,MN,55415,,,680000,,1895,2014,94,65.7,128.7,63.2,125.7,,,5395.9,
City of Lakes,Office,309 2nd Avenue South,Minneapolis,Hennepin,MN,55401,,,47833,,1958,2014,40,156.6,293.6,149.5,285,,,847.9,
Currie Maintenance Facility,"Repair Services (Vehicle, Shoe, Locksmith, etc)",1200 Currie Ave North,Minneapolis,Hennepin,MN,55403,,,171200,,1980,2014,,113.9,178.9,104.3,168.8,,,1796.4,
Emergency Operations Training Center,Office,25 37th Avenue NE,Minneapolis,Hennepin,MN,55421,,,42581,,2010,2014,,63.5,129,59.6,123.7,,,337,
Federal Courthouse Ramp,Parking,333 3rd Avenue South,Minneapolis,Hennepin,MN,55415,,,105000,,1997,2014,,29.6,65.6,26.9,60.4,,,431.9,
Fire Station # 06,Fire Station,121 E 15TH ST,Minneapolis,Hennepin,MN,55403,,,27160,,1980,2014,,88.2,149,80.8,141.3,,,238.9,
Government Center Ramp,Parking,415 south 3rd Street,Minneapolis,Hennepin,MN,55401,,,350000,,1974,2014,,12.7,25.4,12.1,24.7,,,545.1,
Haaf Ramp,Parking,424 4th Street South,Minneapolis,Hennepin,MN,55415,,,260000,,1993,2014,,34.9,69.5,32.6,66.7,,,1139.2,
Hamilton School (Police Training),Office,4131 Dupont Avenue North,Minneapolis,Hennepin,MN,55412,,,41326,,1960,2014,,167.7,273.7,160.5,264,,,662,
Harmon Ramp,Parking,25 South 11th Street,Minneapolis,Hennepin,MN,55403,,,175000,,2003,2014,,15.1,38.9,14.3,37.5,,,434,
Harriet Maintenance Facility,"Repair Services (Vehicle, Shoe, Locksmith, etc)",6036 Harriet Avenue South,Minneapolis,Hennepin,MN,55419,,,53364,,1959,2014,,82.1,128,75.2,120,,,395.3,
Hawthorne Ramp,Parking,31 North 9th Street,Minneapolis,Hennepin,MN,55403,,,630000,,1999,2014,,21.5,42.3,20.8,41.6,,,1633.3,
Hiawatha Maintenance Facility,"Repair Services (Vehicle, Shoe, Locksmith, etc)",1901 East 26th Street,Minneapolis,Hennepin,MN,55404,,,51835,,2010,2014,,89.2,243,87.3,241,,,809.6,
Hilton Ramp,Parking,1030 2nd Avenue South,Minneapolis,Hennepin,MN,55403,,,400000,,1992,2014,,11.8,36.9,11.2,35.3,,,965.4,
Leamington Ramp,Parking,1001 2nd Avenue South,Minneapolis,Hennepin,MN,55403,,,700000,,1991,2014,,13.9,23.1,13,21.9,,,965.9,
Mill Quarter Ramp,Parking,711 South 2nd Street,Minneapolis,Hennepin,MN,55403,,,120000,,2005,2014,,6.9,21.6,6.7,21.2,,,169.7,
Minneapolis Convention Center,Convention Center,1301 second Avenue South,Minneapolis,Hennepin,MN,55403,,,1500000,,1989,2014,,90.5,171,86.9,166.6,,,16082.6,
Orchestra Hall Ramp #1,Parking,1111 Marquette Avenue South,Minneapolis,Hennepin,MN,55403,,,239000,,1976,2014,,24.6,45,22,41.7,,,647.1,
Orchestra Hall Ramp #2,Parking,1111 Marquette Avenue South,Minneapolis,Hennepin,MN,55403,,,148000,,1989,2014,,6.7,21,6.4,20,,,203.1,
Plaza Ramp,Parking,117 South 12th Street,Minneapolis,Hennepin,MN,55403,,,319000,,1989,2014,,21.3,44,19.7,41.8,,,864.5,
Police Precinct #3,Police Station,3000 Minnehaha Avenue,Minneapolis,Hennepin,MN,55406,,,33761,,2005,2014,,110.1,232.5,103.4,224.4,,,484.9,
Police Precinct 4,Police Station,1925 Plymouth Avenue North,Minneapolis,Hennepin,MN,55411,,,25319,,1988,2014,,107.1,223,99.8,214.1,,,347.9,
Public Service Center,Office,250 South 4th Street,Minneapolis,Hennepin,MN,55401,,,93010,,1957,2014,53,137.5,247.6,130.4,238.5,,,1396.9,
Riverfront (Guthrie) Ramp,Parking,212 9th Avenue South,Minneapolis,Hennepin,MN,55403,,,250000,,2005,2014,,10.6,33.4,10.3,32.2,,,545.6,
