Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Record Number,BBL,Co-reported BBL Status,BBLs Co-reported,BINs,Borough,Number of Buildings
,Office,60 BROAD STREET,New York,New York,NY,10004,,,974958,998035,,2013,82,101.6,224,100.9,223.2,0,8601,8601,,64,1000240001,,1000240001,1000817,Manhattan,1
,Office,30 BROAD STREET,New York,New York,NY,10004,,,370000,419795,,2013,81,57.5,166.8,57.6,166.8,0,1983.6,1983.6,,65,1000240029,,1000240029,1000819,Manhattan,1
,Office,50 BROAD STREET,New York,New York,NY,10004,,,205940,262554,,2013,,39.3,91.7,39.4,91.8,0,869.9,869.9,,66,1000240036,,1000240036,1000820,Manhattan,1
,Office,55 BROAD STREET,New York,New York,NY,10004,,,406025,410295,,2013,68,103.2,242.2,104,243.2,0,3569.6,3569.6,20.31,68,1000250001,,1000250001,1000821,Manhattan,1
,K-12 School,41 BROAD STREET,New York,New York,NY,10004,,,91553,125000,,2013,47,45,141.4,45,141.4,0,457.9,457.9,,69,1000250010,,1000250010,1000823,Manhattan,1
,Multifamily Housing,25 BROAD STREET,New York,New York,NY,10004,,,518034,431052,,2013,,79.3,169.6,79.5,169.6,135.3,2679.1,2814.4,,70,1000250019,,1000250019,1000824,Manhattan,1
,Office,40 EXCHANGE PLACE,New York,New York,NY,10005,,,237000,237000,,2013,68,95.1,189.6,96.1,190.5,655.1,828.5,1483.6,,71,1000250027,,1000250027,1000825,Manhattan,1
,Multifamily Housing,45 WALL STREET,New York,New York,NY,10005,,,493187,488895,,2013,,67.1,134.2,66.5,132.4,964.9,1214.6,2179.5,36.94,74,1000260021,,1000260021,1000826,Manhattan,1
,Multifamily Housing,55 WALL STREET,New York,New York,NY,10005,,,274516,290987,,2013,,199.5,337.7,199.3,337.4,1044.6,3279.6,4324.2,,79,1000277501,,1000277501,1000827,Manhattan,1
,Multifamily Housing,63 WALL STREET,New York,New York,NY,10005,,,400531,420558,,2013,,123.8,195,123.8,195,2068.3,1064.4,3132.7,,77,1000270009,,1000270009,1000828,Manhattan,1
,Multifamily Housing,67 WALL STREET,New York,New York,NY,10005,,,303175,318334,,2013,,138.6,211.2,138.6,211.3,1810.6,814.2,2624.8,,78,1000270017,,1000270017,1000829,Manhattan,1
,Multifamily Housing,20 EXCHANGE PLACE,New York,New York,NY,10005,,,786942,826289,,2013,,50.9,109.1,50.7,108.9,417,2874.6,3291.6,,80,1000277502,,1000277502,1000830,Manhattan,1
,Multifamily Housing,3 HANOVER SQUARE,New York,New York,NY,10004,,,239121,239121,,2013,,118.5,183.9,120,185.5,1522.1,581.7,2103.8,,81,1000280001,,1000280001,1000831,Manhattan,1
,Multifamily Housing,82 BEAVER STREET,New York,New York,NY,10005,,,108373,105015,,2013,,73,155.4,71.9,153.5,196.8,321.9,518.7,,82,1000287501,,1000287501,1000835,Manhattan,1
,Multifamily Housing,82 BEAVER STREET,New York,New York,NY,10005,,,108373,105015,,2013,,73,155.4,71.9,153.5,196.8,321.9,518.7,,83,1000287501,,1000287501,1000835,Manhattan,1
,Office,75 BROAD STREET,New York,New York,NY,10004,,,661283,671172,,2013,2,200.4,577,200.7,577.4,0,11074.9,11074.9,,86,1000290070,,1000290070,1000849,Manhattan,1
,Parking,14 SOUTH WILLIAM STREET,New York,New York,NY,10004,,,87775,5900,,2013,,292.7,538.2,292.7,538.2,57.1,53,110.1,,87,1000290086,,1000290086,1000851,Manhattan,1
,Office,7 HANOVER SQUARE,New York,New York,NY,10004,,,782883,802690,,2013,90,62.1,155.4,,,809.3,2818.2,3627.5,,89,1000300019,,1000300019,1000855,Manhattan,1
,Office,7 HANOVER SQUARE,New York,New York,NY,10004,,,782883,802690,,2013,90,62.1,155.4,,,809.3,2818.2,3627.5,,90,1000300019,,1000300019,1000855,Manhattan,1
,Mixed Use Property,10 HANOVER SQUARE,New York,New York,NY,10005,,,487404,510613,,2013,,,,,,,,,,91,1000310001,,1000310001,1000859,Manhattan,1
,Multifamily Housing,95 WALL STREET,New York,New York,NY,10005,,,473460,476727,,2013,,,,,,9.6,0.9,10.5,,96,1000330011,,1000330011,1000864,Manhattan,1
,Office,77 FRONT STREET,New York,New York,NY,10005,,,973587,1162477,,2013,66,77.1,202.5,77,202.4,80.3,7325.5,7405.8,,97,1000350001,,1000350001,1000867,Manhattan,1
,Office,111 WALL STREET,New York,New York,NY,10005,,,990205,,,2013,99,40.4,77.3,39.7,76.4,419.1,2590.8,3009.9,12.57,98,1000350010,,1000350010,1000868,Manhattan,1
,Office,120 WALL STREET,New York,New York,NY,10005,,,582412,614416,,2013,91,55.3,131.9,55.1,131.6,0,2861.6,2861.6,,101,1000377501,,1000377501,1000871,Manhattan,1
,Office,110 WALL STREET,New York,New York,NY,10005,,,295376,292627,,2013,100,29.4,43,29.4,43,0,753.8,753.8,1.18,99,1000370008,,1000370008,1000872,Manhattan,1
,Office,180 MAIDEN LANE,New York,New York,NY,10005,,,1079361,1078751,,2013,55,96.8,250.3,96,249.3,36.2,8649.9,8686.1,,100,1000370023,,1000370023,1000874,Manhattan,1
,Office,100 WALL STREET,New York,New York,NY,10005,,,463664,426531,,2013,,,,,,0,,,,102,1000380001,,1000380001,1000875,Manhattan,1
,Office,88 PINE STREET,New York,New York,NY,10005,,,566858,664900,,2013,62,129.8,241.3,128.6,240,0,7433.6,7433.6,,103,1000380017,,1000380017,1000876,Manhattan,1
,Office,82 WALL STREET,New York,New York,NY,10005,,,53253,56271,,2013,98,53,106.4,,,0,255.3,255.3,,104,1000390001,,1000390001,1000877,Manhattan,1
,Office,,New York,New York,NY,,,,,107751,,2013,100,35.6,64.3,,,0,331,331,,14804,1000390004,,1000390004,1000878,Manhattan,
,Office,110 MAIDEN LANE,New York,New York,NY,10005,,,1075808,986540,,2013,54,130.5,265.9,128.9,264,0,11003.8,11003.8,14.87,105,1000390012,,1000390012,1000880,Manhattan,1
,Multifamily Housing,130 WATER STREET,New York,New York,NY,10005,,,117641,97677,,2013,,88.2,125.7,88.3,125.7,515.2,136.3,651.5,,106,1000397501,,1000397501,1000884,Manhattan,1
,Office,60 WALL STREET,New York,New York,NY,10005,,,1617206,1625483,,2013,,,,,,234,,,,107,1000400003,,1000400003,1001004,Manhattan,1
,Office,48 WALL STREET,New York,New York,NY,10005,,,281755,313918,,2013,83,63.2,179.7,63.2,179.8,0,1634.7,1634.7,,108,1000400014,,1000400014,1001005,Manhattan,1
,Office,,New York,New York,NY,,,,,918919,,2013,,,,,,,,,,12086,1000410001,,1000410001,1001007,Manhattan,
,Multifamily Housing,56 PINE STREET,New York,New York,NY,10005,,,81412,86839,,2013,,84.4,197.7,83.6,196,0,617.7,617.7,,110,1000417503,,1000417503,1001009,Manhattan,1
,Multifamily Housing,100 MAIDEN LANE,New York,New York,NY,10038,,,290116,279600,,2013,,75.8,158.9,75.8,159,64.2,1699.1,1763.3,,112,1000420001,,1000420001,1001014,Manhattan,1
,Office,80 MAIDEN LANE,New York,New York,NY,10038,,,527605,527605,,2013,,,,,,0,,,,114,1000420031,,1000420031,1001015,Manhattan,1
,Office,44 WALL STREET,New York,New York,NY,10005,,,289049,341291,,2013,,92.3,201.5,91.4,200.5,0,2675.1,2675.1,0.6,115,1000430001,,1000430001,1001017,Manhattan,1
,Office,40 WALL STREET,New York,New York,NY,10005,,,1061266,1155995,,2013,91,63,151.5,62.4,150.8,0,6121.2,6121.2,,116,1000430002,,1000430002,1001018,Manhattan,1
,Office,30 WALL STREET,New York,New York,NY,10005,,,108663,137815,,2013,,77.7,215.5,77.6,215.5,0,885.6,885.6,,117,1000430005,,1000430005,1001019,Manhattan,1
,Office,,New York,New York,NY,,,,,2239000,,2013,43,148.8,327.7,146.8,325.3,0,28266.3,28266.3,,14806,1000440001,,1000440001,1001021,Manhattan,
,Multifamily Housing,18 PINE STREET,New York,New York,NY,10005,,,583639,616399,,2013,,36.8,110.9,36.4,109.8,72.4,1734.8,1807.2,,118,1000447501,,1000447501,1001022,Manhattan,1
,Multifamily Housing,18 PINE STREET,New York,New York,NY,10005,,,583639,616399,,2013,,36.8,110.9,36.4,109.8,72.4,1734.8,1807.2,,119,1000447501,,1000447501,1001022,Manhattan,1
,Office,2 WALL STREET,New York,New York,NY,10005,,,173159,192500,,2013,56,97.1,251.9,96.5,251.2,0,1558.7,1558.7,,120,1000460001,,1000460001,1001023,Manhattan,1
,Office,100 BROADWAY,New York,New York,NY,10005,,,364390,364390,,2013,75,73.7,189.9,,,0,2242.4,2242.4,,121,1000460003,,1000460003,1001024,Manhattan,1
,Office,14 WALL STREET,New York,New York,NY,10005,,,839749,1087767,,2013,51,113.9,237.2,112.3,235,0,10569.6,10569.6,,122,1000460009,,1000460009,1001025,Manhattan,1
,Office,120 BROADWAY,New York,New York,NY,10005,,,1736513,1910503,,2013,83,74.1,188.5,73.6,187.3,70.7,11705.5,11776.2,10.97,123,1000477501,,1000477501,1001026,Manhattan,1
,Office,140 BROADWAY,New York,New York,NY,10005,,,1141266,,,2013,68,134.8,272.4,133,270.2,0,14577.1,14577.1,18.46,124,1000480001,,1000480001,1001027,Manhattan,1
,Office,111 BROADWAY,New York,New York,NY,10006,,,432093,450000,,2013,90,45.7,143.4,45.4,142.6,0,1672,1672,,125,1000490002,,1000490002,1001029,Manhattan,1
,Office,115 BROADWAY,New York,New York,NY,10006,,,396607,800000,,2013,94,63,129.2,63.4,129.7,0,4304.3,4304.3,,126,1000500001,,1000500001,1001030,Manhattan,1
,Office,2 RECTOR STREET,New York,New York,NY,10006,,,400294,491400,,2013,92,62,139.4,62.8,140.2,0,2580.1,2580.1,,127,1000510001,,1000510001,1001031,Manhattan,1
,Office,68 TRINITY PLACE,New York,New York,NY,10006,,,63271,54273,,2013,,116.4,214.3,118.2,216.4,9.4,528.5,537.9,,128,1000510007,,1000510007,1001032,Manhattan,1
,Office,78 TRINITY PLACE,New York,New York,NY,10006,,,181725,167555,,2013,1,,,,,0,,,,129,1000510013,,1000510013,1001033,Manhattan,1
,Office,74 TRINITY PLACE,New York,New York,NY,10006,,,182835,205662,,2013,50,113.5,211.4,116,216.1,0,2009.7,2009.7,,130,1000510017,,1000510017,1001036,Manhattan,1
,Multifamily Housing,120 LIBERTY STREET,New York,New York,NY,10006,,,57945,57945,,2013,,92.6,132.3,92.9,132.7,324.4,85.9,410.3,21.46,131,1000520021,,1000520021,1001040,Manhattan,1
,Multifamily Housing,114 LIBERTY STREET,New York,New York,NY,10006,,,74409,64718,,2013,,45,140.2,44.9,140.1,1.6,234.4,236,,132,1000527502,,1000527502,1001041,Manhattan,1
,Multifamily Housing,120 GREENWICH STREET,New York,New York,NY,10006,,,66872,65809,,2013,,74.1,121.8,,,251.6,117.8,369.4,,134,1000537501,,1000537501,1001050,Manhattan,1
,Multifamily Housing,71 WEST STREET,New York,New York,NY,10006,,,258071,250471,,2013,,51.9,85,52.2,85.4,495.3,297.8,793.1,53.54,135,1000550014,,1000550014,1001060,Manhattan,1
,Hotel,80 WEST STREET,New York,New York,NY,10006,,,420322,329999,,2013,1,306.1,435.7,306.1,435.7,2247.7,5086,7333.7,118.68,136,1000550016,,1000550016,1001061,Manhattan,1
,Multifamily Housing,90 WEST STREET,New York,New York,NY,10006,,,357001,322010,,2013,,52.3,146.9,52.3,147,141.4,1153.4,1294.8,70.02,138,1000560004,,1000560004,1001064,Manhattan,1
,Office,1 LIBERTY PLAZA,New York,New York,NY,10006,,,2139035,2346193,,2013,82,123.9,308.6,123.3,307.9,81.6,24211.6,24293.2,17.96,139,1000627501,,1000627501,1001068,Manhattan,1
,Office,5 DEY STREET,New York,New York,NY,10007,,,66686,64259,,2013,,,,,,0,,,,140,1000630012,,1000630012,1001071,Manhattan,1
,Multifamily Housing,53 LIBERTY STREET,New York,New York,NY,10005,,,167448,167428,,2013,,91.8,160.5,91.2,159.2,50.1,1246.3,1296.4,,141,1000640008,,1000640008,1001084,Manhattan,1
,Office,150 BROADWAY,New York,New York,NY,10038,,,279669,276000,,2013,79,65.1,169.7,64.6,169.1,0,1497.7,1497.7,,142,1000640012,,1000640012,1001087,Manhattan,1
,Office,15 MAIDEN LANE,New York,New York,NY,10038,,,124910,144200,,2013,91,58,141.6,57.7,141,0,702.6,702.6,,144,1000650007,,1000650007,1001097,Manhattan,1
,Multifamily Housing,9 MAIDEN LANE,New York,New York,NY,10038,,,58354,63146,,2013,,187.6,245.2,,,551.1,118.7,669.8,,145,1000650010,,1000650010,1001098,Manhattan,1
,Multifamily Housing,176 BROADWAY,New York,New York,NY,10038,,,168176,180100,,2013,,71.8,131.9,71.5,131.7,428.2,396.2,824.4,,146,1000650017,,1000650017,1001100,Manhattan,1
,Office,56 NASSAU STREET,New York,New York,NY,10038,,,558327,617356,,2013,84,58.2,159.9,57.9,159.5,0,2976.5,2976.5,,149,1000670023,,1000670023,1001109,Manhattan,1
,Office,83 MAIDEN LANE,New York,New York,NY,10038,,,155450,,,2013,,,,,,14.8,1476.9,1491.7,,150,1000680007,,1000680007,1001111,Manhattan,1
,Office,75 MAIDEN LANE,New York,New York,NY,10038,,,155026,155026,,2013,,,,,,101.8,,,,151,1000680011,,1000680011,1001112,Manhattan,1
,Multifamily Housing,84 WILLIAM STREET,New York,New York,NY,10038,,,111184,116743,,2013,,,,,,0,,,,152,1000680016,,1000680016,1001113,Manhattan,1
,Multifamily Housing,80 JOHN STREET,New York,New York,NY,10038,,,149564,143531,,2013,,83.3,163.6,83,163.4,106.8,845,951.8,,154,1000687501,,1000687501,1001115,Manhattan,1
,Office,116 JOHN STREET,New York,New York,NY,10038,,,338463,342310,,2013,96,51.6,121.1,51.6,121.1,356.6,891.2,1247.8,,158,1000690032,,1000690032,1001126,Manhattan,1
,Multifamily Housing,90 JOHN STREET,New York,New York,NY,10038,,,372364,410482,,2013,,65.1,133,64.7,131.9,0,2282.8,2282.8,,159,1000697502,,1000697502,1001127,Manhattan,1
,Multifamily Housing,90 JOHN STREET,New York,New York,NY,10038,,,372364,377672,,2013,,44.4,139.5,44.4,139.5,0,1365.5,1365.5,,160,1000697502,,1000697502,1001127,Manhattan,1
,Office,160 WATER STREET,New York,New York,NY,10038,,,481858,491442,,2013,75,113.5,238.2,113.6,238.3,0,4755.3,4755.3,,161,1000700043,,1000700043,1001135,Manhattan,1
,Multifamily Housing,156 FRONT STREET,New York,New York,NY,10038,,,52969,59340,,2013,,111.1,165.2,108.4,162.5,379.9,120,499.9,29.8,163,1000710001,,1000710001,1001136,Manhattan,1
,Office,175 WATER STREET,New York,New York,NY,10038,,,580000,510858,,2013,62,86,230.4,,,44.7,3582.2,3626.9,,164,1000717501,,1000717501,1001137;1804058,Manhattan,1
,Non-Refrigerated Warehouse,163 FRONT STREET,New York,New York,NY,10038,,,58500,58500,,2013,,50.9,57.4,,,208.5,13.5,222,0.69,165,1000720013,,1000720013,1001139,Manhattan,1
,Retail Store,,New York,New York,NY,,,,,91406,,2013,,659.1,1598.3,659.5,1600.2,961.6,3446.8,4408.4,168.75,14810,1000730010,,,1001158,Manhattan,
,Office,199 WATER STREET,New York,New York,NY,10038,,,985010,988890,,2013,87,60.9,159,,,0,5014.1,5014.1,,166,1000747501,,1000747501,1001162,Manhattan,1
,Multifamily Housing,127 JOHN STREET,New York,New York,NY,10038,,,541000,541000,,2013,,63.9,147,63.7,146.2,738.7,1682.3,2421,,167,1000750001,,1000750001,1001163,Manhattan,1
,Office,111 JOHN STREET,New York,New York,NY,10038,,,296076,298776,,2013,82,77.5,191.3,77.3,191,0,1941.9,1941.9,,169,1000750030,,1000750030,1001167,Manhattan,1
,Multifamily Housing,87 JOHN STREET,New York,New York,NY,10038,,,160000,160092,,2013,,72.2,156.2,71.8,155.3,286.1,501.4,787.5,55.1,172,1000770001,,1000770001,1001185,Manhattan,1
,Office,110 WILLIAM STREET,New York,New York,NY,10038,,,788241,878000,,2013,91,54.1,134.2,54.1,134.2,0,3984,3984,,173,1000770008,,1000770008,1001186,Manhattan,1
,Office,130 WILLIAM STREET,New York,New York,NY,10038,,,107124,118000,,2013,1,,,,,0,,,179.03,174,1000770015,,1000770015,1001187,Manhattan,1
,Multifamily Housing,135 WILLIAM STREET,New York,New York,NY,10038,,,76988,62462,,2013,,87.3,172.5,85.9,171,161.4,196.5,357.9,,175,1000780001,,1000780001,1001192,Manhattan,1
,Multifamily Housing,111 WILLIAM STREET,New York,New York,NY,10038,,,97798,105948,,2013,,89.9,178.8,89.1,177.2,26.7,770.5,797.2,,178,1000787507,,1000787507,1001193,Manhattan,1
,Multifamily Housing,71 NASSAU STREET,New York,New York,NY,10038,,,73121,89276,,2013,,66.1,163.1,65.3,161.4,100.7,325.6,426.3,,181,1000797503,,1000797503,1001215,Manhattan,1
,Multifamily Housing,17 JOHN STREET,New York,New York,NY,10038,,,107243,112605,,2013,,53.6,115.9,53.2,114.7,149.7,261.5,411.2,53.81,179,1000790010,,1000790010,1001216,Manhattan,1
,Office,195 BROADWAY,New York,New York,NY,10007,,,1052861,927967,,2013,77,87.6,199.1,86.3,197.5,0,6873.9,6873.9,,182,1000800001,,1000800001,1001227,Manhattan,1
,Office,90 CHURCH STREET,New York,New York,NY,10007,,,1154357,1234704,,2013,92,60.8,159,60,157.8,0,6253.9,6253.9,12.46,184,1000860001,,1000860001,1001230,Manhattan,1
,Office,20 VESEY STREET,New York,New York,NY,10007,,,80298,96154,,2013,74,92.7,185.1,91.3,181.4,360.5,335.8,696.3,,185,1000880005,,1000880005,1001235,Manhattan,1
,Office,30 VESEY STREET,New York,New York,NY,10007,,,71959,77000,,2013,,,,,,0,,,,186,1000880010,,1000880010,1001237,Manhattan,1
,Office,225 BROADWAY,New York,New York,NY,10007,,,480831,461731,,2013,80,101.1,199.3,,,1891.6,1712.7,3604.3,,188,1000880018,,1000880018,1001241,Manhattan,1
,Office,212 BROADWAY,New York,New York,NY,10038,,,756138,761215,,2013,82,98.1,269.3,97.6,268.7,0,6186.7,6186.7,,189,1000890012,,1000890012,1001245,Manhattan,1
,Multifamily Housing,15 PARK ROW,New York,New York,NY,10038,,,343000,336447,,2013,,79.2,161.8,,,932.1,1043.8,1975.9,,190,1000907501,,1000907501,1001249,Manhattan,1
,Multifamily Housing,111 FULTON STREET,New York,New York,NY,10038,,,221213,176514,,2013,,68,149.6,67.9,149.5,0,1017.8,1017.8,,191,1000917502,,1000917502,1001263,Manhattan,1
,College/University,161 WILLIAM STREET,New York,New York,NY,10038,,,177433,187518,,2013,,73.5,184.6,72.5,183.6,0,1152.7,1152.7,,192,1000920005,,1000920005,1001269;1001270,Manhattan,1
,Multifamily Housing,,New York,New York,NY,,,,,36246,,2013,,30,56.9,29.7,56.3,34.2,35.9,70.1,,14812,1000920034,,1000920034,1001279,Manhattan,
,Office,,New York,New York,NY,,,,,587831,,2013,82,102.5,194.2,102.5,194.4,0,5178.7,5178.7,,14813,1000930001,,1000930001,1001280,Manhattan,
,Multifamily Housing,49 FULTON STREET,New York,New York,NY,10038,,,208576,223674,,2013,,109.7,163,109,162,1030.5,416.3,1446.8,90.92,194,1000950027,,1000950027,1001290,Manhattan,1
,Hospital (General Medical & Surgical),52 BEEKMAN STREET,New York,New York,NY,10038,,,301941,340154,,2013,,,,,,28.8,,,,195,1001000001,,1001000001,1001352,Manhattan,1
,Hospital (General Medical & Surgical),52 BEEKMAN STREET,New York,New York,NY,10038,,,301941,340154,,2013,,,,,,28.8,,,,196,1001000001,,1001000001,1001352,Manhattan,1
,Multifamily Housing,138 NASSAU STREET,New York,New York,NY,10038,,,79422,79422,,2013,,82.2,131,81.8,130.3,256.3,138.3,394.6,,197,1001000026,,1001000026,1001354,Manhattan,1
,Multifamily Housing,36 PARK ROW,New York,New York,NY,10038,,,111685,111685,,2013,,45.8,77.3,,,188.8,127,315.8,,199,1001010001,,1001010001,1001355,Manhattan,1
,Office,375 PEARL STREET,New York,New York,NY,10038,,,822318,1120000,,2013,39,72.4,199.8,72.3,199.6,0,6713,6713,,203,1001137501,,1001137501,1001389,Manhattan,1
,Office,9 PARK PLACE,New York,New York,NY,10007,,,205000,220624,,2013,,,,,,,,,27.88,206,1001240004,,1001240004,1001399,Manhattan,1
,Other,250 BROADWAY,New York,New York,NY,10007,,,541195,,,2013,,,,,,0,,,,207,1001240024,,1001240024,1001408,Manhattan,1
,Office,100 CHURCH STREET,New York,New York,NY,10007,,,918240,1018237,,2013,85,76.2,177.6,75.4,176.6,0,6548,6548,13.81,208,1001250020,,1001250020,1001409,Manhattan,1
,Office,,New York,New York,NY,,,,,507000,,2013,,99.4,293.6,99.4,293.6,0,4136.1,4136.1,,14815,1001270018,,1001270018,1001415,Manhattan,
,Multifamily Housing,71 MURRAY STREET,New York,New York,NY,10007,,,60415,55672,,2013,,73.9,146.1,72.7,144.9,121.4,148.5,269.9,27.34,210,1001327503,,1001327503,1001421,Manhattan,1
,Multifamily Housing,,New York,New York,NY,,,,,103130,,2013,,91.6,171,89.7,169.1,420,308.8,728.8,,14816,1001347503,,1001347503,1001446,Manhattan,
,Hotel,,New York,New York,NY,,,,,39000,,2013,,,,,,,131.9,,,14819,1001450012,,1001450012,,Manhattan,
,Multifamily Housing,25 MURRAY STREET,New York,New York,NY,10007,,,144330,151457,,2013,,92.3,166.3,92.3,166.3,659.5,422.7,1082.2,,212,1001347505,,1001347505,1001451,Manhattan,1
,Multifamily Housing,261 BROADWAY,New York,New York,NY,10007,,,122000,122000,,2013,,77.7,129.2,77.1,128.3,483.7,236,719.7,14.99,213,1001357501,,1001357501,1001473,Manhattan,1
,Multifamily Housing,76 WARREN STREET,New York,New York,NY,10007,,,70000,70000,,2013,,58,99.2,57.5,98.3,147.1,104.6,251.7,,218,1001370005,,1001370005,1001488,Manhattan,1
,Multifamily Housing,157 CHAMBERS STREET,New York,New York,NY,10007,,,92418,92408,,2013,,64.3,169,63.7,167.4,76.8,365.4,442.2,37.42,223,1001407505,,1001407505,1001505,Manhattan,1
,Multifamily Housing,166 DUANE STREET,New York,New York,NY,10013,,,107300,111592,,2013,,74.8,138.4,74.5,138.2,273.4,260.1,533.5,44.61,224,1001417504,,1001417504,1001531,Manhattan,1
,College/University,101 MURRAY STREET,New York,New York,NY,10007,,,145525,143091,,2013,,125.6,233.9,,,583.5,568.4,1151.9,26.38,225,1001420100,,1001420100,1001542,Manhattan,1
,Multifamily Housing,47 HUDSON STREET,New York,New York,NY,10013,,,77630,77630,,2013,,63.7,126.7,63.4,126,144.3,180.9,325.2,,228,1001430001,,1001430001,1001543,Manhattan,1
,Multifamily Housing,55 HUDSON STREET,New York,New York,NY,10013,,,103750,103768,,2013,,53.3,98.7,52.9,97.9,181.3,172.3,353.6,1.95,229,1001430004,,1001430004,1001544,Manhattan,1
,Multifamily Housing,335 GREENWICH STREET,New York,New York,NY,10013,,,55800,55800,,2013,,109.9,151.5,109.4,151,380.3,86.2,466.5,,230,1001430021,,1001430021,1001553,Manhattan,1
,Data Center,56 HUDSON STREET,New York,New York,NY,10013,,,802000,1074536,,2013,,296.1,912.4,,,655.2,25177,25832.2,,231,1001440040,,1001440040,1001572,Manhattan,1
,Office,63 THOMAS STREET,New York,New York,NY,10013,,,110750,102304,,2013,80,55.4,148.7,,,0,470.3,470.3,,233,1001480010,,1001480010,1001621,Manhattan,1
,Office,40 WORTH STREET,New York,New York,NY,10013,,,702815,716932,,2013,80,74.5,182.1,,,1292.2,2925.8,4218,,234,1001480015,,1001480015,1001622,Manhattan,1
,Office,277 BROADWAY,New York,New York,NY,10007,,,93615,95739,,2013,,95,172.1,93,170,427.4,278.3,705.7,,235,1001490033,,1001490033,1001635,Manhattan,1
,Multifamily Housing,70 READE STREET,New York,New York,NY,10007,,,56968,65000,,2013,,43.2,92.8,43.2,92.7,5.1,230.5,235.6,,238,1001507501,,1001507501,1001640,Manhattan,1
,Office,299 BROADWAY,New York,New York,NY,10007,,,253033,270564,,2013,93,56.2,125.1,,,491.3,706.1,1197.4,,236,1001500031,,1001500031,1001648,Manhattan,1
,Office,291 BROADWAY,New York,New York,NY,10007,,,128940,128940,,2013,,,,,,798,0,798,,237,1001500038,,1001500038,1001649,Manhattan,1
,Multifamily Housing,101 DUANE STREET,New York,New York,NY,10007,,,434418,483429,,2013,,87,149.5,87,149.6,40.5,3573.5,3614,,239,1001510001,,1001510001,1001650,Manhattan,1
,Office,305 BROADWAY,New York,New York,NY,10007,,,132600,132600,,2013,73,86.1,184.7,,,402.4,494.7,897.1,,240,1001510032,,1001510032,1001659,Manhattan,1
,Office,52 DUANE STREET,New York,New York,NY,10007,,,103158,113473,,2013,88,55.3,118.9,,,190.9,271.5,462.4,,242,1001550003,,1001550003,1001673,Manhattan,1
,Office,,New York,New York,NY,,,,,54429,,2013,73,137.2,300.5,137.2,300.5,246.8,336.8,583.6,,14824,1001620001,,1001620001,1001682,Manhattan,
,Multifamily Housing,364 BROADWAY,New York,New York,NY,10013,,,93378,100879,,2013,,90.2,123.8,89.6,123,565.8,125.7,691.5,20.66,246,1001720001,,1001720001,1001862,Manhattan,1
,Multifamily Housing,,New York,New York,NY,,,,,91820,,2013,,86.1,147.2,86,147.1,323.2,206,529.2,,14825,1001737503,,1001737503,1001874,Manhattan,
,Multifamily Housing,66 LEONARD STREET,New York,New York,NY,10013,,,152495,123325,,2013,,59.3,155.4,58.7,154.8,96.2,447.2,543.4,,248,1001737501,,1001737501,1001877,Manhattan,1
,Multifamily Housing,335 BROADWAY,New York,New York,NY,10013,,,166215,170000,,2013,,21.8,68.3,21.7,68,0,300.9,300.9,,250,1001737504,,1001737504,1001883,Manhattan,1
,Multifamily Housing,90 FRANKLIN STREET,New York,New York,NY,10013,,,107222,107222,,2013,,30.5,95.2,30.5,95.3,1.6,263.6,265.2,,253,1001757504,,1001757504,1001924,Manhattan,1
,Multifamily Housing,365 BROADWAY,New York,New York,NY,10013,,,63600,75100,,2013,,,,,,18.3,,,,251,1001750033,,1001750033,1001939,Manhattan,1
,Office,377 BROADWAY,New York,New York,NY,10013,,,100650,80149,,2013,58,121.2,295.3,119.6,293.4,173.8,524.1,697.9,207.07,252,1001757501,,1001757501,1001940,Manhattan,1
,Multifamily Housing,84 HUDSON STREET,New York,New York,NY,10013,,,51748,60704,,2013,,62.6,116.3,61.7,115.4,123.5,119.6,243.1,41.57,256,1001790017,,1001790017,1001994,Manhattan,1
,Multifamily Housing,14 LEONARD STREET,New York,New York,NY,10013,,,81650,84100,,2013,,68.8,151.7,68.6,151.1,137.1,260.3,397.4,36.04,260,1001797506,,1001797506,1001998,Manhattan,1
,Multifamily Housing,176 WEST BROADWAY,New York,New York,NY,10013,,,52930,40020,,2013,,111.1,244.6,110.9,244.5,106,199.3,305.3,52.09,257,1001790032,,1001790032,1002002,Manhattan,1
,Multifamily Housing,100 HUDSON STREET,New York,New York,NY,10013,,,73954,78063,,2013,,87,128.8,86.2,127.7,396.8,122.1,518.9,18.64,258,1001790056,,1001790056,1002012,Manhattan,1
,Non-Refrigerated Warehouse,139 FRANKLIN STREET,New York,New York,NY,10013,,,56384,56000,,2013,50,61.2,67.6,58.9,65.3,246.6,12.3,258.9,1.87,259,1001790066,,1001790066,1002017,Manhattan,1
