Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),ENERGY STAR Certification Years,Tax Parcel
105 Magazine St,Other,105 Magazine St,Boston,Suffolk,MA,2119,,,5150,,2000,2014,,172.7,,,,,,48.9,,,
125 Magazine St,Office,125 Magazine St,Boston,Suffolk,MA,2119,,,8100,,2000,2014,53,93.2,,,,,,49.8,0.84,,
2101 Washington Street,Supermarket/Grocery Store,2101 Washington Street,Boston,Suffolk,MA,2119,,,53310,,1910,2014,,,,,,,,0,7.32,,
225 Centre LLC,Multifamily Housing,225 Centre St,Boston,Suffolk,MA,2119,,,108449,,2013,2014,98,52.8,,,,,,357.7,5.22,,1100896020
25 School Street Inc,Other - Lodging/Residential,2053R Columbus Ave,Boston,Suffolk,MA,2119,,,51897,,2007,2014,,106.6,,,,,,339.6,30.38,,1101588600
26 Irwin Av,Multifamily Housing,26 Irwin Av,Boston,Suffolk,MA,2119,,,238221,,1889,2014,100,1.5,,,,,,19.3,0.56,,1200403000
51-59 Amory Street,Other,51-59 Amory Street,Boston,Suffolk,MA,2119,,,78738,,1876,2014,,2.3,,,,,,9.7,0.04,,1101201001
Amory Terrace,Multifamily Housing,20 Amory Avenue,Boston,Suffolk,MA,2119,,,64085,,2005,2014,99,29.6,,,,,,166.7,61.19,,1101201010;1101202010
Area B (closed 9/2012),Police Station,135 Dudley St,Boston,Suffolk,MA,2119,,,20414,,2000,2014,,,,,,,,,,,
Arthur J. Hurley Co.,Distribution Center,2500 Washington Street,Boston,Suffolk,MA,2119,,,50000,,1967,2014,90,21.3,,,,,,65.7,2.87,,1247000
B-02 Station,Police Station,2400 Washington St,Boston,Suffolk,MA,2119,,,34500,,2000,2014,,115.9,,,,,,302.6,2.26,,
Bec Site Office,Other,2201 Washington St,Boston,Suffolk,MA,2119,,,14116,,2000,2014,,13.4,,,,,,18.2,,,
Boston Water and Sewer Commission,Office,980 Harrison Avenue,Boston,Suffolk,MA,2119,,,430000,,2001,2014,88,56.1,,,,,,1820.4,5.2,,0901984010;0801982000;0801903010;0801981000
Central Boston Elder: 2311 Washington st,Multifamily Housing,2311 Washington st,Boston,Suffolk,MA,2119,,,49588,,2012,2014,46,67.2,,,,,,243.8,30.01,,903130010
Codman Square Health Center,Urgent Care/Clinic/Other Outpatient,2 Norfolk St,Boston,Suffolk,MA,2119,,,18000,,2000,2014,,,,,,,,0,0.67,,
Council of Elders Housing Corp,Other - Lodging/Residential,2875 Washington Street,Boston,Suffolk,MA,2119,,,137012,,1985,2014,,132.2,,,,,,1231.3,33,,1100915000
Dartmouth Hotel,Multifamily Housing,144 Dudley St,Boston,Suffolk,MA,2119,,,69645,,1871,2014,91,44.8,,,,,,224.5,47.71,,903146010
DEARBORN,K-12 School,35 Geenville St.,Boston,Suffolk,MA,2119,,,112128,,1913,2014,100,36.9,,,,,,248.5,0.35,,
Dimock-Bragdon,Multifamily Housing,1865 Columbus Avenue,Boston,Suffolk,MA,2119,,,94000,,1920,2014,93,50,,,,,,304.2,48.72,,1101134000;1101142000;1101143000;1101144000;1101145000;1101146000;1101147000
District 2/10 Yard,"Repair Services (Vehicle, Shoe, Locksmith, etc)",280 Highland St,Boston,Suffolk,MA,2119,,,27707,,2000,2014,,85.3,,,,,,144.3,0.54,,
EEC ROXBURY,K-12 School,263 Blue Hill Ave.,Boston,Suffolk,MA,2119,,,35000,,1998,2014,51,90.2,,,,,,210.3,1.45,,
Egleston Branch,Library,2044 Columbus Ave,Boston,Suffolk,MA,2119,,,6000,,2000,2014,,86.5,,,,,,35.1,1.38,,
Egleston Crossing,Multifamily Housing,3033 Washington Street,Boston,Suffolk,MA,2119,,,98583,,2005,2014,72,55.9,,,,,,370.5,40.94,,1101005000;1101282000
ELLIS,K-12 School,302 Walnut Ave.,Boston,Suffolk,MA,2119,,,51123,,1932,2014,95,57,,,,,,175,1.25,,
EMERSON,K-12 School,6 Shirley St.,Boston,Suffolk,MA,2119,,,23320,,1924,2014,81,76.4,,,,,,111.9,4.43,,
Engine 14,Fire Station,174 Dudley St,Boston,Suffolk,MA,2119,,,13200,,2000,2014,,142.4,,,,,,123.6,3.64,,
Engine 28,Fire Station,746 Centre St,Boston,Suffolk,MA,2119,,,13424,,2000,2014,,107.5,,,,,,95.3,3.53,,
Engine 42,Fire Station,1870 Columbus Ave,Boston,Suffolk,MA,2119,,,10384,,2000,2014,,113.8,,,,,,77,5.08,,
GLC 6140006/26 WAVERLY ST/ROXBURY/MA,Office,26 WAVERLY ST,Boston,Suffolk,MA,2119,,,107953,,2009,2014,20,99.8,,,,,,961.3,0.82,,1200357000
HALE,K-12 School,51 Cedar St.,Boston,Suffolk,MA,2119,,,23084,,1909,2014,78,78.2,,,,,,114.4,3.68,,
Haynes House,Multifamily Housing,735 Shawmut Ave,Boston,Suffolk,MA,2119,,,138710,,1974,2014,81,68.4,,,,,,577.2,52.95,,902160000
HERNANDEZ,K-12 School,61 School St.,Boston,Suffolk,MA,2119,,,64313,,1923,2014,91,65.7,,,,,,246,1.34,,
HIGGINSON,K-12 School,160 Harrishof St.,Boston,Suffolk,MA,2119,,,22968,,1922,2014,94,64.3,,,,,,88.3,1.58,,
La Concha,Multifamily Housing,1 Forest Place,Boston,Suffolk,MA,2119,,,102891,,1900,2014,53,89.1,,,,,,564.9,57.52,,0130109900;0802374000;0802573000;1200420000;1301150000
LEWIS,K-12 School,131 Walnut Ave.,Boston,Suffolk,MA,2119,,,76220,,1912,2014,98,47.3,,,,,,213,0.97,,
Marcus Garvey,Multifamily Housing,42 John Eliot Square,Boston,Suffolk,MA,2119,,,144181,,1981,2014,60,73.2,,,,,,702.4,32.19,,903557000
MASON,K-12 School,150 Norfolk Ave.,Boston,Suffolk,MA,2119,,,27642,,1905,2014,89,71.7,,,,,,119.6,1.5,,
Mason Pool,Other - Recreation,159 Norfolk Ave,Boston,Suffolk,MA,2119,,,13300,,2000,2014,,298.4,,,,,,253.7,6.06,,
MENDELL,K-12 School,164 School St.,Boston,Suffolk,MA,2119,,,31892,,1904,2014,92,63.9,,,,,,123.5,2.27,,
Morgan Memorial Goodwill Industries,,1010 Harrison Ave.,Boston,Suffolk,MA,2119,,,,,1986,2014,,,,,,,,550.4,,,802375000
Mount Pleasant,Multifamily Housing,2 Waverly Street,Boston,Suffolk,MA,2119,,,84000,,1900,2014,100,19.5,,,,,,111.5,68.9,,1001633000
New Academy Estates,Multifamily Housing,2918 Washington Street,Boston,Suffolk,MA,2119,,,284565,,2001,2014,25,139.6,,,,,,2198,74.13,,1100915001;1101752000
ORCHARD GARDENS,K-12 School,906 Albany St.,Boston,Suffolk,MA,2119,,,141872,,2002,2014,39,77.3,,,,,,763.7,1.41,,
Orchard Gardens Community Center,Other - Recreation,2 Dearborn St,Boston,Suffolk,MA,2119,,,10500,,2000,2014,,95.9,,,,,,61.9,0.58,,
Shelburne Community Center,Other - Recreation,2730 Washington St,Boston,Suffolk,MA,2119,,,25292,,2000,2014,,173.5,,,,,,292.4,0.9,,
Special Operations Police,Police Station,3 Edgewood St,Boston,Suffolk,MA,2119,,,20000,,2000,2014,,159.9,,,,,,218.6,1.49,,
Suffolk HQ: 65 Allerton Street,Office,65 Allerton Street,Boston,Suffolk,MA,2119,,,72087,,2000,2014,23,116.3,,,,,,752.7,7.42,,800962000
TIMILITY,K-12 School,205 Roxbury St.,Boston,Suffolk,MA,2119,,,83120,,1937,2014,95,49.5,,,,,,258.8,0.88,,
UE Apartments,Multifamily Housing,2010 Columbus Ave,Boston,Suffolk,MA,2119,,,114083,,1920,2014,88,64.9,,,,,,452.2,43.82,,1001883000;1002020000;1101077000;1101078000;1101557000;1101626000;1102150020;1102151000;1203077000
Van Ness Terrace,Multifamily Housing,238 Warren Street,Boston,Suffolk,MA,2119,,,66383,,1925,2014,97,44.5,,,,,,184.3,46.53,,1200280000
Vine Street Community Center,Other - Recreation,339 Dudley St,Boston,Suffolk,MA,2119,,,25000,,2000,2014,,84.4,,,,,,136.6,0.43,,
Wardman,Multifamily Housing,9 Wardman Road,Boston,Suffolk,MA,2119,,,151500,,1920,2014,1,69,,,,,,658.3,48.22,,1101645000;1101649000;1101661000;1101662000;1101663000;1101664000;1101665000;1101618000
Warren Palmer LP,Office,7 Palmer Street,Boston,Suffolk,MA,2119,,,31973,,1920,2014,100,23.2,,,,,,52.4,15.73,,802533010
Westminster Court,Multifamily Housing,30 Westminster Avenue,Boston,Suffolk,MA,2119,,,116200,,1960,2014,100,39.3,,,,,,265.9,34.04,,1101702000
WHEATLEY,K-12 School,20 Kearsarge Ave.,Boston,Suffolk,MA,2119,,,55351,,1929,2014,94,49.5,,,,,,177.4,0.8,,
22 Hammond Street,Multifamily Housing,22 Hammond Street,Boston,Suffolk,MA,2120,,,114190,,1900,2014,100,3.8,,,,,,42.5,19.47,,901850000
49 Worthington Street,Multifamily Housing,49 Worthington St,Boston,Suffolk,MA,2120,,,31350,,1920,2014,,69,,,,,,131.4,40.79,,1000036000
C-6 Station,Police Station,99 WEST BROADWAY,Boston,Suffolk,MA,2120,,,15000,,2000,2014,,170.6,,,,,,174.6,3.55,,
CityView at Longwood,Multifamily Housing,75 Saint Alphonsus St.,Boston,Suffolk,MA,2120,,,343959,,1970,2014,72,74.9,,,,,,1504.1,46.82,,1000016000
Deer Park,Other,Boylston  /  Tremont St,Boston,Suffolk,MA,2120,,,24000,,2000,2014,,2.2,,,,,,5.2,,,
Headquarters BPD,Police Station,1199 Tremont St,Boston,Suffolk,MA,2120,,,180000,,2000,2014,,202.6,,,,,,2816.8,,,
Judge Baker Children's Center,Other - Education,53 Parker Hill Ave,Boston,Suffolk,MA,2120,,,72000,,2003,2014,,90.1,,,,,,461.6,,,1001439001
Landmark at Longwood,Senior Care Community,63 Parket Hill Road,Boston,Suffolk,MA,2120,,,35000,,2002,2014,,,,,,,,0.5,,,1001441000
Madison Park III,Multifamily Housing,122 Dewitt Street,Boston,Suffolk,MA,2120,,,193447,,1978,2014,100,49.5,,,,,,522.4,47.59,,0902310000;0902344000;0902345000;0902380000;0902500000;0902506000
Madison Park IV,Multifamily Housing,1-21 Brook Marshall Road,Boston,Suffolk,MA,2120,,,224398,,1980,2014,100,27.3,,,,,,332.1,44.61,,0902145000;0902197000;0902230020;0903070000
MISSION,K-12 School,67 Alleghany St.,Boston,Suffolk,MA,2120,,,64400,,1925,2014,100,30.4,,,,,,109.8,0.29,,
Mission Main Phase 1,Multifamily Housing,43 Smith Street,Boston,Suffolk,MA,2120,,,380068,,2000,2014,88,64.3,,,,,,1505.9,65.76,,1000001005;1000001050
Mission Main Phase 2,Multifamily Housing,1 Cornelia Street,Boston,Suffolk,MA,2120,,,187364,,2000,2014,98,60.3,,,,,,653.3,70.03,,1000001020;1000001021;1000001030;1000001031;1000001040;1000001041;1000001045
Mission Main Phase 3,Multifamily Housing,39 McGreevey Way,Boston,Suffolk,MA,2120,,,115752,,2000,2014,98,62.7,,,,,,416.8,76.16,,1000001025
MP/ORC,K-12 School,75 Malcolm X Boulevard,Boston,Suffolk,MA,2120,,,909764,,1972,2014,9,103.9,,,,,,5832.1,0.97,,
New England Baptist Hospital,Hospital (General Medical & Surgical),125 Parker Hill Avenue,Boston,Suffolk,MA,2120,,,425548,,1893,2014,9,282.1,,,,,,8657.5,52.95,,1001212000;1001213001
Oliver Lofts,Multifamily Housing,166 Terrace Street,Boston,Suffolk,MA,2120,,,82254,,1920,2014,90,49.9,,,,,,283.1,28.76,,1000358010;1000358012;1000358014;1000358016;1000358018;1000358020;1000358022;1000358024;1000358026;1000358028;1000358030;1000358032;1000358034;1000358036;1000358038;1000358040;1000358042;1000358044;1000358046;1000358048;1000358050;1000360000;1000361000
One Brigham Circle,Mixed Use Property,1620 Tremont Street,Boston,Suffolk,MA,2120,,,296873,,2003,2014,42,141.4,,,,,,2663.7,27.17,,1000649000
Parker Hill,Multifamily Housing,"170 Parker Hill Avenue, Unit 16",Boston,Suffolk,MA,2120,,,123860,,1990,2014,100,38,,,,,,273,24.52,,1001052000
Parker Hill Branch,Library,1497 Tremont St,Boston,Suffolk,MA,2120,,,9136,,2000,2014,,150.7,,,,,,80.3,0.35,,
Renaissance Park,Office,1135 Tremont Street,Boston,Suffolk,MA,2120,,,157421,,1993,2014,94,94,,,,,,1205.9,15.16,,902704020
Renaissance Park Garage LLC,Other,1125 Tremont St,Boston,Suffolk,MA,2120,,,319764,,2001,2014,,5.7,,,,,,175.6,,,901352010
Roxse Homes,Multifamily Housing,Roxse Homes,Boston,Suffolk,MA,2120,,,400000,,1900,2014,83,77.8,,,,,,1746.6,64.11,,
Stables,Police Station,165 Allandale St,Boston,Suffolk,MA,2120,,,3440,,2000,2014,,345.1,,,,,,89.9,4.07,,
The Longwood: The Longwood,Multifamily Housing,1575 Tremont Street,Boston,Suffolk,MA,2120,,,167113,,1965,2014,53,74.4,,,,,,826.2,23.76,,1000017000
Thomas Johnson Community Center,Other - Recreation,68 Annunciation Rd,Boston,Suffolk,MA,2120,,,39600,,2000,2014,,7.8,,,,,,29.7,,,
TOBIN,K-12 School,40 Smith St.,Boston,Suffolk,MA,2120,,,64091,,1959,2014,91,60.7,,,,,,236.4,0.6,,
Tobin Community Center,Other - Recreation,1481 Tremont St,Boston,Suffolk,MA,2120,,,50000,,2000,2014,,103.7,,,,,,340,1.57,,
140 Humboldt,Multifamily Housing,140 Humboldt Ave,Boston,Suffolk,MA,2121,,,129644,,1988,2014,,,,,,,,,16.46,,1202025000
198 Geneva Avenue,Office,198 Geneva Avenue,Boston,Suffolk,MA,2121,,,60000,,1968,2014,79,78.9,,,,,,342.3,17.84,,1400038000
Blue Elm Apartments: 9 Hutchings St,Multifamily Housing,9 Hutchings St,Boston,Suffolk,MA,2121,,,14860,,1930,2014,,100.1,,,,,,85.6,45.9,,1202282000
Blue Elm Apartments-6 Wayne Street,Multifamily Housing,6 Wayne Street,Boston,Suffolk,MA,2121,,,61335,,1930,2014,64,97.7,,,,,,347.1,,,1202410000
Blue Mountain Associates,Multifamily Housing,530 Warren Street,Boston,Suffolk,MA,2121,,,231895,,1900,2014,100,18.6,,,,,,236.8,3.46,,1202252000
Brown Kaplan,Multifamily Housing,754 Blue Hill Avenue,Boston,Suffolk,MA,2121,,,71139,,1980,2014,91,85.9,,,,,,327.9,86.06,,1404266020;1404266030;1404266040;1404266050;1404266060;1404266070;1404266080;1404266090;1404266100;1404266110;1404272010;1404272020;1404290020;1404290010;1404277010;1404277020;1404287010;1404277030;1404277040;1404277050
BURKE,K-12 School,60 Washington St.,Boston,Suffolk,MA,2121,,,202304,,1934,2014,64,57.6,,,,,,819.7,0.45,,
Columbia Wood,Multifamily Housing,200 Columbia Road,Boston,Suffolk,MA,2121,,,58848,,2006,2014,95,61.4,,,,,,221.3,51.39,,1400093000;1400324010;1400328000;1400329000;1400371000;1400602000;1400603000;1400692000
Engine 24,Fire Station,36 Washington St,Boston,Suffolk,MA,2121,,,12600,,2000,2014,,123.6,,,,,,99.9,3.6,,
Erie-Ellington,Multifamily Housing,31 Erie Street,Boston,Suffolk,MA,2121,,,55319,,1999,2014,54,79.3,,,,,,283.2,77.77,,1401002010;1401812010;1401815010;1401830001;1401831000;1401853010;1402475010
Franklin Highlands,Multifamily Housing,124 Ruthven Street,Boston,Suffolk,MA,2121,,,324397,,2001,2014,56,80.4,,,,,,1588.7,47.58,,1202220000
Granite Lena Park,Multifamily Housing,754 Blue Hill Avenue,Boston,Suffolk,MA,2121,,,115064,,1920,2014,30,118.1,,,,,,823,82.66,,1401945000;1401946000;1402519000;1402771000;1402774000;1402788000;1402823000;1405083000;1401933000
GREENWOOD S,K-12 School,186 GLENWAY ST,Boston,Suffolk,MA,2121,,,58452,,1925,2014,98,46.5,,,,,,165.8,0.9,,
Grove Hall Branch,Library,5 Crawford St,Boston,Suffolk,MA,2121,,,8103,,2000,2014,,150.7,,,,,,74.9,,,
HOLLAND,K-12 School,85 Olney St.,Boston,Suffolk,MA,2121,,,138585,,1972,2014,49,104.1,,,,,,871,1.35,,
KING,K-12 School,77 Lawrence Ave.,Boston,Suffolk,MA,2121,,,113462,,1937,2014,96,47.2,,,,,,330,0.64,,
LATIN ACADEMY,K-12 School,205 Townsend St.,Boston,Suffolk,MA,2121,,,332366,,1926,2014,91,43.1,,,,,,921.5,1.39,,
LILLA FREDRICK,K-12 School,264 Columbia Rd.,Boston,Suffolk,MA,2121,,,144008,,2002,2014,51,65.1,,,,,,677.6,0.68,,
Olmsted Green West-Phase 1,Multifamily Housing,11 Catbird Court,Boston,Suffolk,MA,2121,,,48066,,2008,2014,64,95.2,,,,,,266.9,78,,1405198700
Phillips Brooks,Multifamily Housing,14 Fayston Street,Boston,Suffolk,MA,2121,,,56046,,1845,2014,22,112.4,,,,,,392.6,70.96,,1300734000;1300741010;1300751000;1300758010;1300768010;1300856000;1300857000;1300858000
Quincy Geneva II,Multifamily Housing,122 Devon Street,Boston,Suffolk,MA,2121,,,80641,,1910,2014,6,151.4,,,,,,734.9,99.97,,1400314000;1400367020;1400367021;1400367022;1400367023;1400367023;1400367024;1400367025;1400367026;1400540000;1400541000;1400542000;1400543000;1400546000;1400547000;1400548000;1400562000;1400562000
School House Apartments - Brookledge Cummins,Multifamily Housing,20 Hutchings Street,Boston,Suffolk,MA,2121,,,57000,,2008,2014,88,62.2,,,,,,208.5,33.81,,1202311000
Theroch,Multifamily Housing,133 Columbia Road,Boston,Suffolk,MA,2121,,,310225,,1940,2014,86,63.5,,,,,,1179.3,37.61,,1202313000;1202360000;1202380000;1202398000;1202402000;1202420000;1400064000;1400084000;1400087000;1401065000;1402457000;1402458000;1402511000
TROTTER,K-12 School,135 Humboldt Ave.,Boston,Suffolk,MA,2121,,,79600,,1969,2014,49,96.9,,,,,,474.9,2.78,,
Washington Columbia I,Multifamily Housing,150 Columbia Road,Boston,Suffolk,MA,2121,,,99899,,1920,2014,11,141.1,,,,,,862.8,100.21,,1400076000;1400078000;1400079000;1400080000;1400707000;1400766000;1401067000;1401068000
Washington Columbia II,Multifamily Housing,95 Washington Street,Boston,Suffolk,MA,2121,,,58520,,1920,2014,1,260.7,,,,,,949.7,207.71,,1400832000;1400833000;1400841000;1400841001;1400842000;1400843000;1400844000;1400845000;1400875000
Washington Heights Apartments,Multifamily Housing,530 Warren Street,Boston,Suffolk,MA,2121,,,179528,,,2014,,,,,,,,,5.44,,1200641000
Washington Park,Multifamily Housing,25 Wyoming Street,Boston,Suffolk,MA,2121,,,87606,,1890,2014,87,74.9,,,,,,395.5,32.2,,1101566000;1101567000;1101568000;1101570000;1101583000;1101584000;1101585000;1101586000;1101587000;1201743000;1201744000;1201990000;1201991000
Adams Street Branch,Library,690 Adams St,Boston,Suffolk,MA,2122,,,7189,,2000,2014,,84.1,,,,,,39.3,1.08,,
C-11 Station,Police Station,40 Gibson St,Boston,Suffolk,MA,2122,,,15339,,2000,2014,,157.5,,,,,,178.1,,,
CLEVELAND NEW,K-12 School,9 Charles St.,Boston,Suffolk,MA,2122,,,91562,,1972,2014,46,109.2,,,,,,582.6,0.59,,
CLEVELAND OLD,K-12 School,11 Charles St.,Boston,Suffolk,MA,2122,,,80472,,1925,2014,79,75,,,,,,362.1,0.92,,
Comfort Inn Boston,Hotel,944 Morrissey Blvd,Boston,Suffolk,MA,2122,,,47094,,1985,2014,43,75.1,,,,,,306,93.09,,1602553000
District 7 Yard,Other,58 Gibson St,Boston,Suffolk,MA,2122,,,1500,,2000,2014,,253.2,,,,,,28.6,4.93,,
Dorchester House Apartments: 10 Ellet Street,Multifamily Housing,10 Ellet St,Boston,Suffolk,MA,2122,,,59400,,1983,2014,65,54.1,,,,,,273.9,45.25,,1500507000
Dutchmaid Bakery,Manufacturing/Industrial Plant,40-42 Sturtevant Street,Boston,Suffolk,MA,2122,,,63000,,1973,2014,,424.1,,,,,,1935.9,44.82,,1600509010
Engine 17,Fire Station,7 Parish St,Boston,Suffolk,MA,2122,,,10008,,2000,2014,,149.8,,,,,,91,5.39,,
Engine 20,Fire Station,301 Neponset Ave,Boston,Suffolk,MA,2122,,,12000,,2000,2014,,99.7,,,,,,72.6,1.55,,
Engine 49,Fire Station,209 Neponset Valley Parkway,Boston,Suffolk,MA,2122,,,6750,,2000,2014,,21.6,,,,,,14.1,2.83,,
Fields Corner Branch,Library,1520 Dorcheter Ave,Boston,Suffolk,MA,2122,,,8410,,2000,2014,,69.9,,,,,,56.9,1.24,,
JATC Training Center,Vocational School,194 Freeport St.,Boston,Suffolk,MA,2122,,,56715,,1990,2014,,,,,,,,0,,,1600009000
KENNEY,K-12 School,19 Oakton Ave.,Boston,Suffolk,MA,2122,,,37578,,1926,2014,96,48.9,,,,,,118.7,1.04,,
MATHER,K-12 School,24 Parish St.,Boston,Suffolk,MA,2122,,,76974,,1905,2014,95,53.3,,,,,,248.1,0.93,,
MILDRED,K-12 School,Mildred Ave.,Boston,Suffolk,MA,2122,,,214093,,2002,2014,60,61.6,,,,,,953,0.79,,
Morrissey Plaza,Retail Store,725 William T Morrissey Boulevard,Boston,Suffolk,MA,2122,,,84470,,1965,2014,59,42.7,,,,,,347.2,15.72,,1600247000
MURPHY,K-12 School,1 Worrell St.,Boston,Suffolk,MA,2122,,,147548,,1973,2014,47,114.6,,,,,,976.8,1.52,,
O'HEARN,K-12 School,1669 Dorchester Ave.,Boston,Suffolk,MA,2122,,,30381,,1957,2014,60,115.5,,,,,,200.2,1.2,,
Ramada Boston,Hotel,800 Morrissey Blvd,Boston,Suffolk,MA,2122,,,59200,,1972,2014,15,116.9,,,,,,548.9,81.18,,1602588000
Work Inc,Office,25 Beach St,Boston,Suffolk,MA,2122,,,130000,,1910,2014,94,47.5,,,,,,449.9,6.38,,
07587-Morrisey Blvd,Supermarket/Grocery Store,45 Morrissey Blvd,Boston,Suffolk,MA,2124,,,61555,,1999,2014,37,261.9,,,,,,1307.2,32.2,,
719 Washington Street,Other,719 Washington Street,Boston,Suffolk,MA,2124,,,1428,,2000,2014,,6.6,,,,,,0.9,,,
Amiff Housing: Amiff-ALH,Multifamily Housing,64 American Legion Highway,Boston,Suffolk,MA,2124,,,87660,,1971,2014,33,96.5,,,,,,485.9,54.41,,1404246000
B-03 Station,Police Station,1163 Blue Hill Ave,Boston,Suffolk,MA,2124,,,15000,,2000,2014,,186.5,,,,,,192.6,4.95,,
Baker Chocolate Factory,Multifamily Housing,1220 Adams Street,Boston,Suffolk,MA,2124,,,105620,,1980,2014,,60.6,,,,,,432,,,1703661000
Baker Square,Multifamily Housing,1241 Adams Street,Boston,Suffolk,MA,2124,,,229178,,,2014,96,46.5,,,,,,694.9,32.74,,
Carney Hospital,Hospital (General Medical & Surgical),2100 Dorchester Avenue,Boston,Suffolk,MA,2124,,,540000,,1953,2014,74,194.1,,,,,,7286.6,53.73,,1605017010
Codman Square Branch,Library,690 Washington St,Boston,Suffolk,MA,2124,,,20000,,2000,2014,,69.7,,,,,,104.8,0.3,,
DORCHESTER HS,K-12 School,9 Peacevale Rd.,Boston,Suffolk,MA,2124,,,143173,,1925,2014,66,79.9,,,,,,690,1.28,,
DOT HS ANNEX,K-12 School,9 Peacevale Rd.,Boston,Suffolk,MA,2124,,,10287,,1995,2014,68,102.9,,,,,,64.9,,,
Engine 16,Fire Station,9 Gallivan Boulevard,Boston,Suffolk,MA,2124,,,18060,,2000,2014,,76.7,,,,,,86.8,1.53,,
Engine 18,Fire Station,1884 Dorchester Ave,Boston,Suffolk,MA,2124,,,10800,,2000,2014,,68.2,,,,,,51.8,2.31,,
Engine 52,Fire Station,975 Blue Hill Ave,Boston,Suffolk,MA,2124,,,7760,,2000,2014,,244.8,,,,,,120,8.08,,
Franklin Hill Corp PH1,Multifamily Housing,1 Shandon Road,Boston,Suffolk,MA,2124,,,277643,,1900,2014,100,16.2,,,,,,238.2,2.04,,1404238010
GLC 6150006/175 ADAMS ST/DORCESTER/MA,Office,175 ADAMS ST,Boston,Suffolk,MA,2124,,,104335,,2009,2014,8,136.7,,,,,,1227.5,6.17,,1501583000
Hearth at Olmstead Green: 2 Kingbird Road,Multifamily Housing,305 American Legion Hwy,Boston,Suffolk,MA,2124,,,59580,,2012,2014,59,55.6,,,,,,227.3,23.79,,1405196900
HOLMES,K-12 School,40 School St,Boston,Suffolk,MA,2124,,,60280,,1906,2014,96,51,,,,,,190.2,1.27,,
Keystone Apartments,,151 Hallet Street,Boston,Suffolk,MA,2124,,,,,1979,2014,,62.2,,,,,,1090.7,26.16,,1604327000
Latin Academy I / New Girls Latin Academy,Multifamily Housing,380 Talbot Avenue,Boston,Suffolk,MA,2124,,,79599,,1930,2014,5,110.5,,,,,,599.2,49.33,,1704781102
LEE,K-12 School,155 Talbot Ave.,Boston,Suffolk,MA,2124,,,153460,,1971,2014,80,48.3,,,,,,556.8,1.44,,
Lower Mills Branch,Library,23 Richmond St,Boston,Suffolk,MA,2124,,,9940,,2000,2014,,120,,,,,,77.9,0.85,,
MARSHALL,K-12 School,35 Westville St.,Boston,Suffolk,MA,2124,,,141091,,1971,2014,69,100.2,,,,,,804.3,1.07,,
New Codman Square Apts,Multifamily Housing,1749 Dorchester Avenue,Boston,Suffolk,MA,2124,,,77355,,1930,2014,69,79.2,,,,,,376.3,66.15,,1601331000;1601332000;1700947000;1701634000;1702080000;1702103000;1702507000;1702508000;1704730000
Noral Housing: Noral - Algonquin / Bradlee,Multifamily Housing,12 Algonquin Street,Boston,Suffolk,MA,2124,,,63942,,1970,2014,99,30.6,,,,,,163.7,59.11,,1700075000
SHAW PA,K-12 School,429 Norfolk St.,Boston,Suffolk,MA,2124,,,32706,,1919,2014,99,40.2,,,,,,81.8,0.5,,
"Standish Village TRS, LLC",Senior Care Community,1190 Adams St,Boston,Suffolk,MA,2124,,,76430,,1880,2014,,84.4,,,,,,369.2,62.2,,1703663030
THOMPSON,K-12 School,100 Maxwell St.,Boston,Suffolk,MA,2124,,,75508,,1892,2014,94,53.1,,,,,,246.3,0.65,,
William J. Devine Golf Course,Other - Recreation,1 Circuit Drive,Boston,Suffolk,MA,2124,,,14000,,2000,2014,,67,,,,,,69.6,,,
WILSON,K-12 School,18 Croftland Ave,Boston,Suffolk,MA,2124,,,97130,,1932,2014,82,73.9,,,,,,421.5,0.48,,
#2679 South Bay/Boston,Retail Store,5 Alllstate Road,Boston,Suffolk,MA,2125,,,132000,,1998,2014,77,63.8,,,,,,676.9,4.88,,703501080
045 - Holiday Inn Express Dorchester,Hotel,69 R. Boston Street,Boston,Suffolk,MA,2125,,,58051,,2010,2014,13,150.7,,,,,,704.6,176.34,,703436000
65 East Cottage St (closed 9/2014),Non-Refrigerated Warehouse,65 East Cottage St,Boston,Suffolk,MA,2125,,,120238,,2000,2014,,,,,,,,,,,
Bayside Merchandise Mart,Office,150 Mt. Vernon Street,Boston,Suffolk,MA,2125,,,159732,,1984,2014,32,83.6,,,,,,1292.2,,,1303448200
BOSTON SOUTH BAY (1898),Retail Store,7 ALLSTATE RD,Boston,Suffolk,MA,2125,,,147225,,2004,2014,81,79.4,,,,,,983.8,11.36,2012,703501010
Campbell Resource Center,K-12 School,1216 Dorchester Ave.,Boston,Suffolk,MA,2125,,,97349,,2000,2014,39,68,,,,,,509.9,0.41,,
