Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Address of Record,DC Real Property ID,Owner of Record,PM Parent Property ID,PM Property ID,Parent Property Name,Ward,X-Coordinate (ESRI),Y-Coordinate (ESRI)
American Legacy Foundation,Office,"1724 Massachusetts Avenue, NW",Washington,District of Columbia,DC,20036,,,67223,43000,2007,2013,31,86.5,271.6,86.7,272.1,,,497.9,8.895348837,1724 MASSACHUSETTS AV NW,1580080,AMERICAN LEGACY FOUNDATION,,1784213,,2,396574.0468,137780.025
The Palladium,Multifamily Housing,1325 18th St NW,Washington,District of Columbia,DC,20036,,,283452,195480,1975,2013,,43,100.1,43,99.9,,,824.3,15.19388173,1325 18TH STREET NW,1581058,THE PALLADIUM CONDOMINIUM,,3514124,,2,,
1211 Connecticut,Office,1211 Connecticut Avenue NW,Washington,District of Columbia,DC,20036,,,183950,160685,1967,2013,74,81.8,193.4,82.2,193.7,,,1390.6,,1211 CONNECTICUT AV NW,1590084,FP 1211 CONNECTICUT AVENUE LLC,,3267017,,2,396450.9769,137605.9596
1717 Rhode Island - 2021,Office,"1717 Rhode Island Avenue, NW",Washington,District of Columbia,DC,20036,,,108806,221905,2004,2013,84,57,178.9,57,178.9,,,1601.1,23.28158446,1711 RHODE ISLAND AV,1590087,YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN WASHINGTON (YMCA),,1127988,,2,396612.2485,137649.182
OFC Building,Office,1730 Rhode Island Ave. NW,Washington,District of Columbia,DC,20036,,,244818,181895,1968,2013,84,79.9,192.7,80.7,193.5,,,1469.9,25.63182056,1730 RHODE ISLAND AV NW,1600035,MAIZELS FAMILY LIMITED LIABILITY LIMITED PARTNERSHIP,,1257643,,2,396557.2143,137560.6455
1111,Office,1111 18th Street NW,Washington,District of Columbia,DC,20036,,,110099,75234,2000,2013,36,111.4,342.8,111.4,342.8,,,1043,24.46234415,1111 18TH ST,1610031,JACK I BENDER & SONS INC,,1257641,,2,396416.8859,137396.6372
Bender Building,Office,1120 Connecticut Ave. NW,Washington,District of Columbia,DC,20036,,,403277,362143,1962,2013,82,61.8,177,62,177.2,,,2671.6,14.39900813,1120 CONNECTICUT AV NW,1610037,JACK I BENDER & SONS INC,,1257640,,2,396438.898,137355.0986
Connecticut Building,Office,1150 Connecticut Ave. NW,Washington,District of Columbia,DC,20036,,,246682,213025,1975,2013,86,66,166.1,66.3,166.5,,,1558,13.60826194,1150 CONNECTICUT AV NW,1610038,NORTHWESTERN DEVELOPMENT COMPANY B,,1413138,,2,396414.155,137501.5468
1730 M St NW,Office,1730 M St NW,Washington,District of Columbia,DC,20002,,,295925,221437,1964,2013,77,87.5,194.6,88.3,195.4,,,1829.4,19.98807787,1730 M ST NW,1620037,GERALD D GROSNER,,1411409,,2,396522.2858,137498.8123
1726 M St NW,Office,1726 M St NW,Washington,District of Columbia,DC,20002,,,148960,104932,1963,2013,83,58.5,165.5,58.6,165.6,,,710.3,26.19124767,1726 M ST NW,1620077,"VORNADO 1726 M ST, LLC",,1423464,,2,396578.3691,137498.8123
*02217 - 1100 17th Street NW,Office,1100 17th Street NW,Washington,District of Columbia,DC,22209,,,157120,151404,1963,2013,89,48.1,150.4,48.1,150.4,,,1004.6,22.11038017,1100 17TH ST NW,1620092,LIBERTY 1100 17TH STREET LP,,1061926,,2,396633.8916,137354.794
1150 17th Street,Office,1150 17th Street N.W.,Washington,District of Columbia,DC,20036,,,321920,263091,1970,2013,65,72.7,226.7,72.6,226.3,,,2407.9,30.92580134,1150 17TH ST NW,1620095,1150 17TH STREET ASSOCIATES,,17803,,2,396616.774,137498.8123
9671n-Mayflower Renaissance,Hotel,1127 Connecticut Ave Nw,Washington,District of Columbia,DC,20036,,,583918,628696,1997,2013,54,99.4,207.7,99.7,208,,,5830,55.12362096,1127 CONNECTICUT AV NW,1620099,WSRH WASHINGTON LLC,,3351508,,2,396573.442,137398.2281
Demonet Building,Office,"1155 Connecticut Avenue, NW",Washington,District of Columbia,DC,20036,,,90347,107968,1984,2013,55,66.9,210,66.9,210.2,,,914.6,20.55609069,1155 CONNECTICUT AV,1620100,TMT DEMONET INC,,1419646,,2,396486.0267,137510.6988
1707 L Street,Office,"1707 L Street, NW",Washington,District of Columbia,DC,20036,,,165374,109926,1960,2013,88,65.3,169.8,65.6,170,,,772.6,11.47954078,1707 L ST NW,1620821,1709 L STREET NW LLC,,1431050,,2,396597.4557,137354.794
1725 DeSales St NW,Office,1725 DeSales St NW,Washington,District of Columbia,DC,20002,,,121709,81625,1962,2013,75,78.4,170.8,79,171.5,,,593.9,28.51822358,1725 DE SALES ST NW,1620822,DESALES VENTURE LLC,,1423434,,2,396552.8999,137457.6643
